Title	RANDOMLY GENERATED
Search_Abilities	Search Abilities
Type_1	Type 1
Type_2	Type 2
Any	Any
Attack	Attack
Healing	Healing
EmotionPlayer	Emotion - Player
EmotionEnemy	Emotion - Enemy
PositionPlayer	Position - Player
PositionEnemy	Position - Enemy
StatsPlayer	Stats - Player
StatsEnemy	Stats - Enemy
Player	Player
Enemies	Enemies
Search_Enemies	Search Enemies
Right_Click_Reminder	Right click to read about Enemies
Default_Position	Default Position
Knight	Knight
Knight_Text	Deals lots of damage to individual Enemies, and only Grounded ones. Has control over Emotions and Defense.
Battle_Cry	Battle Cry
Battle_Cry_Text	A Player becomes Angry and gains $DefenseStat$ Defense.
Battle_Cry_Log	$This$ has $Target$ do a battle cry.
Cheer	Cheer
Cheer_Text	Another Player becomes Happy and gets $MiscStat$ Extra Ability.
Cheer_Log	$This$ cheers on $Target$.
Daze	Daze
Daze_Text	A Grounded Enemy becomes Happy and loses $DefenseStat$ Defense.
Daze_Log	$This$ dazes $Target$.
Desperation	Desperation
Desperation_Text	This becomes Sad. Then deal $Num$ damage to a Grounded Enemy.
Desperation_Log	$This$ gets desperate against $Target$.
Embarass	Embarass
Embarass_Text	A Grounded Enemy becomes Sad. Then deal $Num$ damage to them.
Embarass_Log	$This$ embarasses $Target$.
Force	Force
Force_Text	Deal $Num$ damage to a Grounded Enemy. Their active Ability Cooldown are decreased by $MiscStat$.
Force_Log	$This$ forces $Target$ to work harder.
Impale	Impale
Impale_Text	Deal $Num$ damage to a Grounded Enemy. They becomes Stunned for $MiscStat$ turn.
Impale_Log	$This$ impales $Target$.
Intimidate	Intimidate
Intimidate_Text	This becomes Angry, and another Player becomes Sad.
Intimidate_Log	$This$ intimidates $Target$.
Joust	Joust
Joust_Text	Deal $Num$ damage to a Grounded Enemy. Then this loses $PowerStat$ Power.
Joust_Log	$This$ uses joust against $Target$.
Knock_Down	Knock Down
Knock_Down_Text	Deal $Num$ damage to a Grounded Enemy. Then they lose $DefenseStat$ Defense.
Knock_Down_Log	$This$ knocks down $Target$.
Meditate	Meditate
Meditate_Text	A Player becomes Neutral, Protected, and Locked for $MiscStat$ turn.
Meditate_Log	$This$ has $Target$ meditate.
Mirror	Mirror
Mirror_Text	Deal $Num$ damage to a Grounded Enemy with the same Emotion as this.
Mirror_Log	$This$ mirrors $Target$.
Mock	Mock
Mock_Text	A Grounded Enemy becomes Angry. Then deal $Num$ damage to them.
Mock_Log	$This$ mocks $Target$.
Neutralize	Neutralize
Neutralize_Text	Deal $Num$ damage to a Grounded Enemy. Then they become Neutral.
Neutralize_Log	$This$ neutralizes $Target$.
Redirect	Redirect
Redirect_Text	Another Player gains $DefenseStat$ Defense and becomes Targeted for $MiscStat$ turns.
Redirect_Log	$This$ redirects attention to $Target$.
Strike	Strike
Strike_Text	This gains $DefenseStat$ Defense. Then deal $Num$ damage to a Grounded Enemy.
Strike_Log	$This$ strikes at $Target$.
Steal	Steal
Steal_Text	An Enemy becomes Angry. All Players gain $DefenseStat$ Defense.
Steal_Log	$This$ steals from $Target$.
Surprise	Surprise
Surprise_Text	A Grounded Enemy becomes Happy. Then deal $Num$ damage to it.
Surprise_Log	$This$ surprises $Target$.
Twirl	Twirl
Twirl_Text	This becomes Happy. Then deals $Num$ damage to a Grounded Enemy.
Twirl_Log	$This$ twirls into $Target$.
Upset	Upset
Upset_Text	A Grounded Enemy becomes Sad and loses $DefenseStat$ Defense.
Upset_Log	$This$ upsets $Target$.
Immobilize	Immobilize
Immobilize_Text	Deal $Num$ damage to a Grounded Enemy. They become Locked for $MiscStat$ turns.
Immobilize_Log	$This$ Immobilizes $Target$.
Angel	Angel
Angel_Text	Heals Players and starts Elevated. Can do everything but attack.
Air_Combat	Air Combat
Air_Combat_Text	A Grounded Player and Grounded Enemy both become Elevated. The Player gains $PowerStat$ Power.
Air_Combat_Log	$This$ initiates air combat.
Assist	Assist
Assist_Text	Another Player gains $Num$ Health and gets $MiscStat$ Extra Ability.
Assist_Log	$This$ assists $Target$.
Calm_Down	Calm Down
Calm_Down_Text	Each non-Neutral Player gain $Num$ Health and becomes Neutral.
Calm_Down_Log	$This$ calms everyone down.
Crash_Land	Crash Land
Crash_Land_Text	An Elevated Enemy becomes Grounded and loses $DefenseStat$ Defense.
Crash_Land_Log	$This$ makes $Target$ crash land.
Enrage	Enrage
Enrage_Text	An Elevated Player becomes Angry and Grounded.
Enrage_Log	$This$ enrages $Target$.
Exhaust	Exhaust
Exhaust_Text	An Enemy becomes Sad and loses $PowerStat$ Power.
Exhaust_Log	$This$ exhausts $Target$.
Exorcism	Exorcism
Exorcism_Text	An Elevated Enemy loses $DefenseStat$ Defense. Each Elevated Player gains $Num$ Health.
Exorcism_Log	$This$ exorcises $Target$.
Gift_of_Flight	Gift of Flight
Gift_of_Flight_Text	A Grounded Enemy becomes Happy and Elevated.
Gift_of_Flight_Log	$This$ gives $Target$ the gift of flight.
Hide	Hide
Hide_Text	A Grounded Enemy loses $PowerStat$ Power. Each Grounded Player gains $Num$ Health.
Hide_Log	$This$ has players hide from $Target$.
Immunity	Immunity
Immunity_Text	A Player gains $Num$ Health and becomes Protected and Targeted for $MiscStat$ turn.
Immunity_Log	$This$ grants immunity to $Target$.
Joy	Joy
Joy_Text	An Elevated Player gains $Num$ Health and becomes Happy.
Joy_Log	$This$ brings $Target$ joy.
Lift_Up	Lift Up
Lift_Up_Text	A Grounded Player gains $Num$ Health and becomes Elevated.
Lift_Up_Log	$This$ lifts $Target$ up.
Motivate	Motivate
Motivate_Text	A Player gains $Num$ Health. Decrease their active Cooldown by $MiscStat$.
Motivate_Log	$This$ motivates $Target$.
Overheal	Overheal
Overheal_Text	All Players gain $MiscStat$ Max Health and $Num$ Health.
Overheal_Log	$This$ overheals all players.
Petrify	Petrify
Petrify_Text	An Elevated Enemy becomes Grounded, Neutral, and Stunned for $MiscStat$ turn.
Petrify_Log	$This$ petrifies $Target$.
Plummet	Plummet
Plummet_Text	An Elevated Enemy becomes Angry and Grounded.
Plummet_Log	$This$ plummets $Target$.
Retreat	Retreat
Retreat_Text	A Grounded Player gains $Num$ Health and becomes Sad.
Retreat_Log	$This$ has $Target$ retreat.
Security	Security
Security_Text	A Player switches Positions and gains $DefenseStat$ Defense.
Security_Log	$This$ rescues $Target$.
Soft_Landing	Soft Landing
Soft_Landing_Text	An Elevated Player gains $Num$ Health and becomes Grounded.
Soft_Landing_Log	$This$ helps $Target$ land softly.
Tailwinds	Tailwinds
Tailwinds_Text	Each Elevated Player gains $Num$ Health and $DefenseStat$ Defense.
Tailwinds_Log	$This$ creates tailwinds.
Team_Up	Team Up
Team_Up_Text	Each Grounded Player gains $Num$ Health and $PowerStat$ Power.
Team_Up_Log	$This$ forms a team.
Wizard	Wizard
Wizard_Text	Deals small amounts of damage to multiple Enemies at once. Has control over Positions and Power.
Above_Danger	Above Danger
Above_Danger_Text	A Grounded Player becomes Elevated and Protected for $MiscStat$ turn.
Above_Danger_Log	$This$ moves $Target$ above danger.
Bad_Omens	Bad Omens
Bad_Omens_Text	Deal $Num$ damage to all Enemies. They lose $PowerStat$ Power.
Bad_Omens_Log	$This$ predicts bad omens.
Bounce	Bounce
Bounce_Text	Deal $Num$ damage to each Grounded Enemy. They each become Elevated.
Bounce_Log	$This$ bounces all enemies.
Chill	Chill
Chill_Text	Deal $Num$ damage to each Grounded Enemy. Then this becomes Stunned for $MiscStat$ turn.
Chill_Log	$This$ chills the battlefield.
Accelerate	Accelerate
Accelerate_Text	Another Player gains $PowerStat$ Power. Decrease their active Cooldown by $MiscStat$.
Accelerate_Log	$This$ accelerates $Target$.
Flood	Flood
Flood_Text	Each Grounded Player becomes Elevated. Then deal $Num$ damage to each Grounded Enemy.
Flood_Log	$This$ summons a flood.
Gust	Gust
Gust_Text	An Elevated Enemy becomes Grounded and loses $PowerStat$ Power.
Gust_Log	$This$ shoots gusts towards $Target$.
Headwinds	Headwinds
Headwinds_Text	Deal $Num$ damage to each Elevated Enemy. They each lose $PowerStat$ Power.
Headwinds_Log	$This$ creates headwinds.
Crown	Crown
Crown_Text	A Player gains $PowerStat$ Power and becomes Targeted for $MiscStat$ turns.
Crown_Log	$This$ crowns $Target$ as a winner.
Storm	Storm
Storm_Text	Each Elevated Player becomes Grounded. Then deal $Num$ damage to each Elevated Enemy.
Storm_Log	$This$ summons a storm.
Manipulate_Time	Manipulate Time
Manipulate_Time_Text	Deal $Num$ damage to each Elevated Enemy. They each get $MiscStat$ Extra Ability.
Manipulate_Time_Log	$This$ manipulates time.
Bind	Bind
Bind_Text	An Elevated Enemy becomes Grounded and Stunned for $MiscStat$ turn.
Bind_Log	$This$ binds $Target$.
Punch_Up	Punch Up
Punch_Up_Text	Deal $Num$ damage to all Enemies with $MiscStat$ Health or more.
Punch_Up_Log	$This$ punches up at the strongest.
Quick_Attack	Quick Attack
Quick_Attack_Text	A Grounded Player gains $PowerStat$ Power. Deal $Num$ damage to each Grounded Enemy.
Quick_Attack_Log	$This$ has $Target$ perform a quick attack.
Readjust	Readjust
Readjust_Text	All Players and Enemies switch Positions.
Readjust_Log	$This$ readjusts everyone's position.
Restrain	Restrain
Restrain_Text	Deal $Num$ damage to all Enemies. They all become Locked for $MiscStat$ turns.
Restrain_Log	$This$ restrains all enemies.
Shockwave	Shockwave
Shockwave_Text	Deal $Num$ damage to all Enemies, and $Sec$ damage to all Players.
Shockwave_Log	$This$ creates a shockwave.
Stalactites	Stalactites
Stalactites_Text	Deal $Num$ damage to each Elevated Enemy. They each become Grounded.
Stalactites_Log	$This$ drops stalactites.
Team_Attack	Team Attack
Team_Attack_Text	If all 3 Players are Elevated, deal $Num$ damage to all Enemies.
Team_Attack_Log	$This$ uses a team attack.
Touchdown	Touchdown
Touchdown_Text	An Elevated Player becomes Grounded and gains $PowerStat$ Power.
Touchdown_Log	$This$ has $Target$ touch down.
Warp	Warp
Warp_Text	A Grounded Enemy becomes Elevated and loses $PowerStat$ Power.
Warp_Log	$This$ warps $Target$ away.
Revive	Revive
Revive_Text	Bring back a dead Player with $Num$ Health and a random Emotion.
Revive_Log	$This$ revives $Target$.
Skip_Turn	Skip Turn
Skip_Turn_Text	Do nothing.
Skip_Turn_Log	$This$ skips their turn.
Archer	Archer
Archer_Text	Makes itself Happy, then shoots down Angry and Elevated Players.
Quick_Shot	Quick Shot
Quick_Shot_Text	An Elevated Player becomes Angry. Then deal $Num$ damage to them.
Quick_Shot_Log	$This$ fires a quick shot at $Target$.
Bullseye	Bullseye
Bullseye_Text	This gains $PowerStat$ Power. Then deal $Num$ damage to an Elevated Player.
Bullseye_Log	$This$ shoots a direct arrow at $Target$.
Volley	Volley
Volley_Text	Deal $Num$ damage to all Players.
Volley_Log	$This$ fires a volley of arrows.
Focus	Focus
Focus_Text	This becomes Happy and gains $DefenseStat$ Defense.
Focus_Log	$This$ focuses its aim.
Barbarian	Barbarian
Barbarian_Text	Makes itself Angry, goes after the Grounded Player with the most Health, and lowers their Max Health.
Fury	Fury
Fury_Text	Deal $Num$ damage to the Grounded Player with the most Health.
Fury_Log	$This$ unleashes its fury on $Target$.
Savagery	Savagery
Savagery_Text	All Grounded Players lose 1 Max Health and $PowerStat$ Power.
Savagery_Log	$This$ displays savagery.
Brawl	Brawl
Brawl_Text	This and the Grounded Player with the most Health both become Angry and Locked for $MiscStat$ turn.
Brawl_Log	$This$ brawls with $Target$.
Camp	Camp
Camp_Text	This becomes Protected for $MiscStat$ turn and gets $MiscStat$ Extra Ability.
Camp_Log	$This$ goes into its camp.
Bat	Bat
Bat_Text	Makes itself Sad, then it attacks Happy players and heals at the same time.
Drain	Drain
Drain_Text	Deal $Num$ damage to a Player. This gains $Num$ Health.
Drain_Log	$This$ drains blood out of $Target$.
Screech	Screech
Screech_Text	A Player becomes Happy and loses $DefenseStat$ Defense.
Screech_Log	$This$ screeches.
Hunting_Season	Hunting Season
Hunting_Season_Text	This gains $PowerStat$ Power.
Hunting_Season_Log	$This$ goes on the hunt.
Bloodthirst	Bloodthirst
Bloodthirst_Text	This becomes Sad and gets $MiscStat$ Extra Ability.
Bloodthirst_Log	$This$ becomes bloodthirsty.
Bees	Bees
Bees_Text	Helps other Elevated Enemies stay alive with status effects.
Sting	Sting
Sting_Text	Deal Num damage to a Player. This becomes Targeted for $MiscStat$ turn.
Sting_Log	$This$ stings $Target$.
Honey	Honey
Honey_Text	Another Elevated Enemy gains $Num$ Health.
Honey_Log	$This$ gives $Target$ honey.
Protect_the_Queen	Protect the Queen
Protect_the_Queen_Text	Another Elevated Enemy becomes Protected for $MiscStat$ turn.
Protect_the_Queen_Log	$This$ protects $Target$.
Support	Support
Support_Text	Another Elevated Enemy gets $MiscStat$ Extra Ability.
Support_Log	$This$ supports $Target$.
Cow	Cow
Cow_Text	Either attacks the Player who most recently damaged them, or does healing while Happy.
Charge	Charge
Charge_Text	Deal $Num$ damage to the last Player who attacked this.
Charge_Log	$This$ charges at $Target$.
Milk	Milk
Milk_Text	Another Enemy gains $Num$ Health and becomes Happy.
Milk_Log	$This$ gives milk to $Target$.
Graze	Graze
Graze_Text	This gains $Num$ Max Health and $Num$ Health.
Graze_Log	$This$ grazes.
Bellow	Bellow
Bellow_Text	This gains $DefenseStat$ Defense and becomes Targeted for $MiscStat$ turns.
Bellow_Log	$This$ bellows.
Crow	Crow
Crow_Text	Basic Enemy who attacks Grounded and Elevated Players.
Peck	Peck
Peck_Text	Deal $Num$ damage to any Player.
Peck_Log	$This$ pecks $Target$.
Demon	Demon
Demon_Text	Weakens other Enemies to make itself stronger. Eventually it'll unleash a powerful attack on all Players.
Dark_Energy	Dark Energy
Dark_Energy_Text	Deal $Num$ damage to all Players.
Dark_Energy_Log	$This$ unleashes dark energy.
Betrayal	Betrayal
Betrayal_Text	Deal $Num$ damage to another Enemy. This gains $MiscStat$ Max Health, $Num$ Health, and $PowerStat$ Power.
Betrayal_Log	$This$ betrays $Target$.
Ritual	Ritual
Ritual_Text	Another Enemy becomes Stunned for $MiscStat$ turn. This reduces their active Ability Cooldown by $MiscStat$.
Ritual_Log	$This$ uses $Target$ in a ritual.
Demand_Energy	Demand Energy
Demand_Energy_Text	All other Players and Enemies lose $PowerStat$ Power.
Demand_Energy_Log	$This$ demands energy.
Dragon	Dragon
Dragon_Text	Deals lots of damage to all Players when Elevated. Heals itself and becomes Grounded when damaged.
Firebreath	Firebreath
Firebreath_Text	If this is Elevated, deals $Num$ damage to all Players.
Firebreath_Log	$This$ unleashes its firebreath.
Roost	Roost
Roost_Text	If this is Elevated, it becomes Grounded and gains $Num$ Health.
Roost_Log	$This$ uses roost.
Take_Flight	Take Flight
Take_Flight_Text	All Grounded Enemies becomes Elevated.
Take_Flight_Log	$This$ is back for more.
Roar	Roar
Roar_Text	This becomes Angry and gains $PowerStat$ Power.
Roar_Log	$This$ roars.
Drone	Drone
Drone_Text	Makes itself Neutral and Elevated, then attacks multiple Players at once.
Sound_Waves	Sound Waves
Sound_Waves_Text	If this is Neutral, deal $Num$ damage to all Players.
Sound_Waves_Log	$This$ creates sound waves.
Alarm	Alarm
Alarm_Text	This becomes Neutral, Elevated, and Locked for $MiscStat$ turns.
Alarm_Log	$This$ is alarmed.
Ghost	Ghost
Ghost_Text	Makes Players change Positions, and then deals heavy damage to Elevated Players while Sad.
Jumpscare	Jumpscare
Jumpscare_Text	Deal $Num$ damage to an Elevated Player.
Jumpscare_Log	$This$ jumpscares $Target$.
Lament	Lament
Lament_Text	This and another Enemy both become Sad.
Lament_Log	$This$ and $Target$ lament.
Possession	Possession
Possession_Text	A Grounded Player becomes Elevated and loses $PowerStat$ Power.
Possession_Log	$This$ possesses $Target$.
Release	Release
Release_Text	An Elevated Player becomes Grounded and Stunned for $MiscStat$ turn.
Release_Log	$This$ releases $Target$.
Herald	Herald
Herald_Text	If not killed fast enough, will start to summon 3 Star Enemies.
Flag_Whack	Flag Whack
Flag_Whack_Text	Deal $Num$ damage to a Player.
Flag_Whack_Log	$This$ whacks $Target$.
Announce	Announce
Announce_Text	Summon a random $MiscStat$ Star Enemy.
Announce_Log	$This$ announces in a new enemy.
Kitty	KITTY!!!
Kitty_Text	Alternates between Grounded and Elevated, and attacks any Player with the same Position.
Scratch	Scratch
Scratch_Text	Deal $Num$ damage to a Player with the same Position as this.
Scratch_Log	$This$ scratches $Target$.
Stuck_in_a_Tree	Stuck in a Tree
Stuck_in_a_Tree_Text	If this is Grounded, it becomes Elevated and Sad.
Stuck_in_a_Tree_Log	$This$ gets stuck in a tree.
Land_Feet_First	Land Feet First
Land_Feet_First_Text	If this is Elevated, it becomes Grounded and gains $Num$ Health.
Land_Feet_First_Log	$This$ lands feet first.
Lure	Lure
Lure_Text	A Player switches Positions. This becomes Targeted for $MiscStat$ turn.
Lure_Log	$This$ lures $Target$.
Leprechaun	Leprechaun
Leprechaun_Text	If this is at full Health, it increases Players Stats; otherwise it deals lots of damage.
Prank	Prank
Prank_Text	If this took damage, deal $Num$ damage to all Players.
Prank_Log	$This$ pranks everyone.
Caught_at_a_Good_Time	Caught at a Good Time
Caught_at_a_Good_Time_Text	If this is at full Health, all Players gain $PowerStat$ Power and $DefenseStat$ Defense.
Caught_at_a_Good_Time_Log	$This$ gives everyone gold.
Ninja	Ninja
Ninja_Text	Goes after the Player who has the least Health, and alternates between Grounded and Elevated.
Assassinate	Assassinate
Assassinate_Text	Deal $Num$ damage to the Player with the least amount of Health.
Assassinate_Log	$This$ pulls a sneak attack on $Target$.
Shuriken	Shuriken
Shuriken_Text	A Player loses $PowerStat$ Power and $DefenseStat$ Defense.
Shuriken_Log	$This$ throws a shuriken at $Target$.
Into_Shadows	Into Shadows
Into_Shadows_Text	If this is Elevated, it becomes Grounded and Protected for $MiscStat$ turn.
Into_Shadows_Log	$This$ leaps into shadows.
Wall_Climb	Wall Climb
Wall_Climb_Text	If this is Grounded, it becomes Elevated and gains $DefenseStat$ Defense.
Wall_Climb_Log	$This$ climbs a wall.
Page	Page
Page_Text	Basic Enemy who attacks Grounded Players.
Swing	Swing
Swing_Text	Deal $Num$ damage to a Grounded Player.
Swing_Log	$This$ swings against $Target$.
Partier	Partier
Partier_Text	Heals all Enemies, gives them random Emotions, and increases their Max Health.
Fight	Fight
Fight_Text	Deal $Num$ damage to a Grounded Player.
Fight_Log	$This$ fights $Target$.
Share_Drinks	Share Drinks
Share_Drinks_Text	All Enemies gain $Num$ Health.
Share_Drinks_Log	$This$ shares drinks.
Share_Snacks	Share Snacks
Share_Snacks_Text	All Enemies gain $MiscStat$ Max Health.
Share_Snacks_Log	$This$ shares snacks.
Drinking_Game	Drinking Game
Drinking_Game_Text	All Enemies get a random Emotion.
Drinking_Game_Log	$This$ plays a drinking game.
Pixie	Pixie
Pixie_Text	Changes all Player Emotions at the same time, and attacks Elevated Players.
Will_o_Wisp	Will-o'-Wisp
Will_o_Wisp_Text	Deal $Num$ damage to an Elevated Player.
Will_o_Wisp_Log	$This$ conjures a will-o'-wisp against $Target$.
Cast_Happiness	Cast Happiness
Cast_Happiness_Text	All Player become Happy.
Cast_Happiness_Log	$This$ casts happiness.
Cast_Sadness	Cast Sadness
