Title	RANDOMLY GENERATED
Round	Round $MainNum$
Wave	Wave $MainNum$ / $Max$
Enter_Fight	$This$ enters the fight.
Quit_Fight	You quit.
Game_Won	You won!
Game_Lost	You lost.
Waves_Survived	Waves survived: $MainNum$
Time_Taken	Time taken: $Time$
Increase_Stat	$This$ gains $MainNum$ $Stat$.
Decrease_Stat	$This$ loses $MainNum$ $Stat$.
Become_New	$This$ becomes $Change$.
Change_Status	$This$ is $Status$ (turns: $MainNum$).
Died	$This$ has died.
Revived	$This$ comes back to life.
Choose_Ability	$This$: Choose an Ability.
Must_Choose_Targeted	$Target$ is Targeted.
Choose_One_Player	Choose a Player to target ($Ability$).
Choose_Another_Player	Choose another Player to target ($Ability$).
Choose_An_Enemy	Choose an Enemy to target ($Ability$).
Confirm_No_Target	Use $Ability$?
Confirm_Target	Use $Ability$ on:
Tutorial	Tutorial
Tutorial_10	This is a turn-based RPG where your Players are given random Abilities to fight against random Enemies.
Tutorial_20	You always have the same 3 party members. Right click on the Knight to see what they do.
Tutorial_30	Here's your first Enemy. Use the Knight's Ability against them.
Tutorial_40	The Ability you used has 1 turn of cooldown (Cooldown), so you can't use it again this Round. Instead use a different Ability.
Tutorial_50	You killed your first Enemy! Now you may have noticed your Knight is Focused.
Tutorial_51	Everyone begins with a random Mood. Each Mood is effective against a different Mood.
Tutorial_52	To see which Moods are effective against which, open the Mood Guide (usually it's at the bottom right of the screen).
Tutorial_60	Here's your 2nd party member. Right click on the Angel to read what they do.
Tutorial_70	This Page is Lively. Since Lively is super effective against Focused, this puts your Knight at a disadvantage.
Tutorial_71	But you can have the Angel make the Page Tired. That way, your Focused Knight will gain the advantage.
Tutorial_90	Everyone has a Position: Grounded or Elevated. Your Knight always starts Grounded, and Angel always starts Elevated.
Tutorial_91	One of the Knight's big weaknesses is that they can't attack Enemies with a different Position, which means they cannot attack the Crows.
Tutorial_100	And now, your 3rd party member. Right click on the Wizard to read what they do.
Tutorial_110	Your Wizard has an Ability that forces all Elevated Enemies to be Grounded. Use Stalactites against the 2 Crows.
Tutorial_120	Now that all the Enemies are Grounded, your Knight is capable of hitting them, so finish them off.
Tutorial_121	Note that for your convenience, Attack Abilities are colored red, Healing Abilities are colored green, the others are colored blue.
Tutorial_130	You’ve completed the tutorial. In the main game, the 3 Players have 6 Abilities, and each fight also has 2 different Rules, all chosen at random.
Tutorial_131	To win, you'll have to defeat 5 waves of randomly selected Enemies, with the Enemies getting stronger on later waves. Glhf!
Tutorial_Finished	Tutorial finished.
Next	Next
Encyclopedia	Encyclopedia
Exit	Exit
Abilities	Abilities
Search_Abilities	Search Abilities
Type_1	Type 1
Type_2	Type 2
Any	Any
Attack	Attack
Healing	Healing
MoodPlayer	Mood - Player
MoodEnemy	Mood - Enemy
PositionPlayer	Position - Player
PositionEnemy	Position - Enemy
StatPlayer	Stats - Player
StatEnemy	Stats - Enemy
Player	Player
Enemies	Enemies
Search_Enemies	Search Enemies
Right_Click_Reminder	Right click to read about Enemies
Default_Position	Default Position
Rules	Rules
Rules_Reminder	A maximum of 2 Rules per game.
Chosen_Rule	Rule: $Rule$
Apply_Rule	Applying Rule: $Rule$.
Knight	Knight
Knight_Text	Deals lots of damage to individual Enemies. Has control over Moods and Defense.
Battle_Cry	Battle Cry
Battle_Cry_Text	A Player becomes Focused and gains $DefNum$ Defense.
Battle_Cry_Log	$This$ has $Target$ do a battle cry.
Cheer	Cheer
Cheer_Text	Another Player becomes Lively and gets $StatusNum$ Extra Ability.
Cheer_Log	$This$ cheers on $Target$.
Daze	Daze
Daze_Text	An Enemy at the same Position becomes Lively and loses $DefNum$ Defense.
Daze_Log	$This$ dazes $Target$.
Heavy_Sword	Heavy Sword
Heavy_Sword_Text	This becomes Tired. Then deal $MainNum$ damage to an Enemy at the same Position.
Heavy_Sword_Log	$This$ swings a heavy sword against $Target$.
Overwhelm	Overwhelm
Overwhelm_Text	An Enemy at the same Position becomes Tired. Then deal $MainNum$ damage to them.
Overwhelm_Log	$This$ overwhelms $Target$.
Force	Force
Force_Text	Deal $MainNum$ damage to an Enemy at the same Position. Their active Ability Cooldown are decreased by $MiscNum$.
Force_Log	$This$ forces $Target$ to work harder.
Impale	Impale
Impale_Text	Deal $MainNum$ damage to an Enemy at the same Position. They becomes Stunned for $StatusNum$ turn.
Impale_Log	$This$ impales $Target$.
Take_Over	Take Over
Take_Over_Text	This becomes Focused, and another Player becomes Tired.
Take_Over_Log	$This$ takes over $Target$'s role.
Joust	Joust
Joust_Text	Deal $MainNum$ damage to an Enemy at the same Position. Then this loses $PowNum$ Power.
Joust_Log	$This$ uses joust against $Target$.
Knock_Down	Knock Down
Knock_Down_Text	Deal $MainNum$ damage to an Enemy at the same Position. Then they lose $DefNum$ Defense.
Knock_Down_Log	$This$ knocks down $Target$.
Mirror	Mirror
Mirror_Text	Deal $MainNum$ damage to an Enemy with the same Position and Mood.
Mirror_Log	$This$ mirrors $Target$.
Occupy	Occupy
Occupy_Text	An Enemy at the same Position becomes Focused. Then deal $MainNum$ damage to them.
Occupy_Log	$This$ occupies $Target$'s time.
Redirect	Redirect
Redirect_Text	Another Player gains $DefNum$ Defense and becomes Targeted during this and next Round.
Redirect_Log	$This$ redirects attention to $Target$.
Strike	Strike
Strike_Text	This gains $DefNum$ Defense. Then deal $MainNum$ damage to an Enemy at the same Position.
Strike_Log	$This$ strikes at $Target$.
Pillage	Pillage
Pillage_Text	An Enemy becomes Focused. All Players gain $DefNum$ Defense.
Pillage_Log	$This$ pillages $Target$.
Motivate	Motivate
Motivate_Text	An Enemy at the same Position becomes Lively. Then deal $MainNum$ damage to it.
Motivate_Log	$This$ motivates $Target$.
Twirl	Twirl
Twirl_Text	This becomes Lively. Then deal $MainNum$ damage to an Enemy at the same Position.
Twirl_Log	$This$ twirls into $Target$.
Debilitate	Debilitate
Debilitate_Text	An Enemy becomes Tired and loses $DefNum$ Defense.
Debilitate_Log	$This$ debilitates $Target$.
Immobilize	Immobilize
Immobilize_Text	Deal $MainNum$ damage to an Enemy at the same Position. They become Locked during this and next Round.
Immobilize_Log	$This$ immobilizes $Target$.
Duel	Duel
Duel_Text	Deal $MainNum$ damage to an Enemy at the same Position. They gain 1 Power and lose 1 Defense.
Duel_Log	$This$ duels with $Target$.
Prioritize	Prioritize
Prioritize_Text	Deal $MainNum$ damage to an Enemy at the same Position. They become Targeted during this and next Round.
Prioritize_Log	$This$ prioritizes defeating $Target$.
Angel	Angel
Angel_Text	Heals Players and starts Elevated. Can do everything but attack.
Air_Combat	Air Combat
Air_Combat_Text	Both a Grounded Player and Grounded Enemy become Elevated and gain $PowNum$ Power.
Air_Combat_Log	$This$ initiates air combat.
Assist	Assist
Assist_Text	Another Player gains $MainNum$ Health and gets $StatusNum$ Extra Ability.
Assist_Log	$This$ assists $Target$.
Crash_Land	Crash Land
Crash_Land_Text	An Elevated Enemy becomes Grounded and loses $DefNum$ Defense.
Crash_Land_Log	$This$ makes $Target$ crash land.
Stay_Up	Stay Up
Stay_Up_Text	An Elevated Player gains $MainNum$ Health and becomes Focused.
Stay_Up_Log	$This$ makes $Target$ stay up.
Exhaust	Exhaust
Exhaust_Text	An Enemy becomes Tired and loses $PowNum$ Power.
Exhaust_Log	$This$ exhausts $Target$.
Exorcism	Exorcism
Exorcism_Text	An Elevated Enemy loses $DefNum$ Defense. Each Elevated Player gains $MainNum$ Health.
Exorcism_Log	$This$ exorcises $Target$.
Gift_of_Flight	Gift of Flight
Gift_of_Flight_Text	A Grounded Enemy becomes Lively and Elevated.
Gift_of_Flight_Log	$This$ gives $Target$ the gift of flight.
Hide	Hide
Hide_Text	A Grounded Enemy loses $PowNum$ Power. Each Grounded Player gains $MainNum$ Health.
Hide_Log	$This$ has players hide from $Target$.
Immunity	Immunity
Immunity_Text	A Player gains $MainNum$ Health and becomes Protected during this Round.
Immunity_Log	$This$ grants immunity to $Target$.
Joy	Joy
Joy_Text	A Grounded Player gains $MainNum$ Health and becomes Lively.
Joy_Log	$This$ brings $Target$ joy.
Lift_Up	Lift Up
Lift_Up_Text	A Grounded Player gains $MainNum$ Health and becomes Elevated.
Lift_Up_Log	$This$ lifts $Target$ up.
Overheal	Overheal
Overheal_Text	All Players gain $MiscNum$ Max Health and $MainNum$ Health.
Overheal_Log	$This$ overheals all players.
Plummet	Plummet
Plummet_Text	An Elevated Enemy becomes Focused and Grounded.
Plummet_Log	$This$ plummets $Target$.
Retreat	Retreat
Retreat_Text	An Elevated Player becomes Tired and Grounded.
Retreat_Log	$This$ has $Target$ retreat.
Security	Security
Security_Text	A Player switches Positions and gains $DefNum$ Defense.
Security_Log	$This$ gives $Target$ security.
Soft_Landing	Soft Landing
Soft_Landing_Text	An Elevated Player gains $MainNum$ Health and becomes Grounded.
Soft_Landing_Log	$This$ helps $Target$ land softly.
Tailwinds	Tailwinds
Tailwinds_Text	Each Elevated Player gains $MainNum$ Health and $PowNum$ Power.
Tailwinds_Log	$This$ creates tailwinds.
Team_Up	Team Up
Team_Up_Text	Each Grounded Player gains $MainNum$ Health and $DefNum$ Defense.
Team_Up_Log	$This$ forms a team.
Transport	Transport
Transport_Text	A Player gains $MainNum$ Health. An Enemy switches Positions.
Transport_Log	$This$ establishes transportation.
Restore	Restore
Restore_Text	Each Player with $MiscNum$ Health or less gains $MainNum$ Health.
Restore_Log	$This$ restores everyone's health.
Preserve	Preserve
Preserve_Text	A Player gains $MainNum$ Health and becomes Locked during this Round.
Preserve_Log	$This$ preserves $Target$.
Wizard	Wizard
Wizard_Text	Deals small amounts of damage to multiple Enemies at once. Has control over Positions and Power.
Above_Danger	Above Danger
Above_Danger_Text	A Grounded Player becomes Elevated and Protected during this round.
Above_Danger_Log	$This$ moves $Target$ above danger.
Bounce	Bounce
Bounce_Text	Deal $MainNum$ damage to each Grounded Enemy. They each become Elevated.
Bounce_Log	$This$ bounces all enemies.
Strain	Strain
Strain_Text	Deal $MainNum$ damage to each Grounded Enemy. Then this becomes Stunned for $StatusNum$ turn.
Strain_Log	$This$ strains itself with an attack.
Accelerate	Accelerate
Accelerate_Text	Another Player gains $PowNum$ Power. Decrease their active Cooldown by $MiscNum$.
Accelerate_Log	$This$ accelerates $Target$.
Gust	Gust
Gust_Text	An Elevated Enemy becomes Grounded and loses $PowNum$ Power.
Gust_Log	$This$ shoots gusts towards $Target$.
Headwinds	Headwinds
Headwinds_Text	Deal $MainNum$ damage to each Elevated Enemy. They each lose $PowNum$ Power.
Headwinds_Log	$This$ creates headwinds.
Manipulate_Time	Manipulate Time
Manipulate_Time_Text	Deal $MainNum$ damage to each Elevated Enemy. They each get $StatusNum$ Extra Ability.
Manipulate_Time_Log	$This$ manipulates time.
Launch	Launch
Launch_Text	A Grounded Enemy becomes Elevated and Stunned for $StatusNum$ turn.
Launch_Log	$This$ launches $Target$ away.
Punch_Up	Punch Up
Punch_Up_Text	Deal $MainNum$ damage to all Enemies with $MiscNum$ Health or more.
Punch_Up_Log	$This$ punches up at the strongest.
Shockwave	Shockwave
Shockwave_Text	Deal $MainNum$ damage to all Enemies, and $SecNum$ damage to all Players.
Shockwave_Log	$This$ creates a shockwave.
Stalactites	Stalactites
Stalactites_Text	Deal $MainNum$ damage to each Elevated Enemy. They each become Grounded.
Stalactites_Log	$This$ drops stalactites.
Team_Attack	Team Attack
Team_Attack_Text	If all 3 Players are Elevated, deal $MainNum$ damage to all Enemies.
Team_Attack_Log	$This$ uses a team attack.
Touchdown	Touchdown
Touchdown_Text	An Elevated Player becomes Grounded and gains $PowNum$ Power.
Touchdown_Log	$This$ has $Target$ touch down.
Warp	Warp
Warp_Text	A Player switches Positions. An Enemy loses $PowNum$ Power.
Warp_Log	$This$ uses warp.
Flood	Flood
Flood_Text	Each Grounded Player becomes Elevated. Deal $MainNum$ damage to each Grounded Enemy.
Flood_Log	$This$ summons a flood.
Tornado	Tornado
Tornado_Text	Each Elevated Player becomes Grounded. Deal $MainNum$ damage to each Elevated Enemy.
Tornado_Log	$This$ summons a tornado.
Readjust	Readjust
Readjust_Text	An Enemy switches Positions and becomes Locked during this and next Round.
Readjust_Log	$This$ readjusts $Target$'s position.
Divine_Wind	Divine Wind
Divine_Wind_Text	Each Elevated Player gains $PowNum$ Power. Then deal $MainNum$ damage to each Elevated Enemy.
Divine_Wind_Log	$This$ uses divine wind.
Overgrowth	Overgrowth
Overgrowth_Text	Each Grounded Player gains $PowNum$ Power. Then deal $MainNum$ damage to each Grounded Enemy.
Overgrowth_Log	$This$ uses overgrowth.
Bad_Omens	Bad Omens
Bad_Omens_Text	Deal $MainNum$ damage to each Grounded Enemy. They each lose $PowNum$ Power.
Bad_Omens_Log	$This$ predicts bad omens.
Conformity	Conformity
Conformity_Text	Deal $MainNum$ damage to all Enemies with a different Position and Mood than this.
Conformity_Log	$This$ punishes non-conformists.
Revive	Revive
Revive_Text	Bring back a dead Player with $MainNum$ Health and a random Mood.
Revive_Log	$This$ revives $Target$.
Skip_Turn	Skip Turn
Skip_Turn_Text	Do nothing.
Skip_Turn_Log	$This$ skips their turn.
Archer	Archer
Archer_Text	Makes itself Lively, then shoots down Focused and Elevated Players.
Distract	Distract
Distract_Text	An Elevated Player becomes Focused. Then deal $MainNum$ damage to them.
Distract_Log	$This$ distracts $Target$.
Bullseye	Bullseye
Bullseye_Text	This gains $PowNum$ Power. Then deal $MainNum$ damage to an Elevated Player.
Bullseye_Log	$This$ shoots a direct arrow at $Target$.
Cover	Cover
Cover_Text	This becomes Lively and gains $DefNum$ Defense.
Cover_Log	$This$ hides behind cover.
Aim_Up	Aim_Up
Aim_Up_Text	This becomes Grounded, and a Grounded Player becomes Elevated.
Aim_Up_Log	$This$ aims up at $Target$.
Barbarian	Barbarian
Barbarian_Text	Makes itself Focused, attacks the Player with the most Health, and lowers their Max Health and Power.
Fury	Fury
Fury_Text	Deal $MainNum$ damage to the Player with the most Health.
Fury_Log	$This$ unleashes its fury on $Target$.
Trample	Trample
Trample_Text	The Player with the most Health loses $PowNum$ Power and becomes Targeted during this and next round.
Trample_Log	$This$ tramples over $Target$.
Brawl	Brawl
Brawl_Text	The Player with the most Health loses 2 Max Health.
Brawl_Log	$This$ brawls with $Target$.
Frenzy	Frenzy
Frenzy_Text	This becomes Focused and gains $PowerNum$ Power.
Frenzy_Log	$This$ gets into a frenzy.
Bat	Bat
Bat_Text	Makes itself Tired, then it attacks Lively players and heals at the same time.
Drain	Drain
Drain_Text	Deal $MainNum$ damage to a Player. This gains $MainNum$ Health.
Drain_Log	$This$ drains blood out of $Target$.
Screech	Screech
Screech_Text	A Player becomes Lively and loses $DefNum$ Defense.
Screech_Log	$This$ screeches.
Hunting_Season	Hunting Season
Hunting_Season_Text	This gains $PowNum$ Power.
Hunting_Season_Log	$This$ goes on the hunt.
Bloodthirst	Bloodthirst
Bloodthirst_Text	This becomes Tired and gets $StatusNum$ Extra Ability.
Bloodthirst_Log	$This$ is thirsty.
Bees	Bees
Bees_Text	Helps other Elevated Enemies stay alive with status effects.
Sting	Sting
Sting_Text	Deal $MainNum$ damage to all Players. This becomes Targeted during this and next Round.
Sting_Log	$This$ stings everyone.
Honey	Honey
Honey_Text	Another Elevated Enemy gains $MainNum$ Health.
Honey_Log	$This$ gives $Target$ honey.
Protect_the_Queen	Protect the Queen
Protect_the_Queen_Text	Another Elevated Enemy becomes Protected during this and next Round.
Protect_the_Queen_Log	$This$ protects $Target$.
Support	Support
Support_Text	Another Elevated Enemy gets $StatusNum$ Extra Ability.
Support_Log	$This$ supports $Target$.
Cow	Cow
Cow_Text	Either attacks the Player who most recently damaged them, or does some healing.
Charge	Charge
Charge_Text	Deal $MainNum$ damage to the last Player who attacked this (if any).
Charge_Log	$This$ charges at $Target$.
Milk	Milk
Milk_Text	Another Enemy gains $MainNum$ Health and becomes Lively.
Milk_Log	$This$ gives milk to $Target$.
Graze	Graze
Graze_Text	This gains $MainNum$ Max Health and $MainNum$ Health.
Graze_Log	$This$ grazes.
Bellow	Bellow
Bellow_Text	This gains $DefNum$ Defense and becomes Targeted during this and next Round.
Bellow_Log	$This$ bellows.
Crow	Crow
Crow_Text	Basic Enemy who attacks Grounded and Elevated Players.
Peck	Peck
Peck_Text	Deal $MainNum$ damage to any Player.
Peck_Log	$This$ pecks $Target$.
Demon	Demon
Demon_Text	Weakens other Enemies to make itself stronger. Eventually it'll unleash a powerful attack on all Players.
Dark_Energy	Dark Energy
Dark_Energy_Text	Deal $MainNum$ damage to all Players.
Dark_Energy_Log	$This$ unleashes dark energy.
Betrayal	Betrayal
Betrayal_Text	Deal $MainNum$ damage to another Enemy. This gains $MiscNum$ Max Health, $SecNum$ Health, and $PowNum$ Power.
Betrayal_Log	$This$ betrays $Target$.
Ritual	Ritual
Ritual_Text	Another Enemy becomes Stunned for $StatusNum$ turn. This reduces their active Ability Cooldown by $MiscNum$.
Ritual_Log	$This$ uses $Target$ in a ritual.
Demand_Energy	Demand Energy
Demand_Energy_Text	All other Players and Enemies lose $PowNum$ Power.
Demand_Energy_Log	$This$ demands energy.
Dragon	Dragon
Dragon_Text	Deals lots of damage to all Players when Elevated. Heals itself and becomes Grounded when damaged.
Firebreath	Firebreath
Firebreath_Text	If this is Elevated, deals $MainNum$ damage to all Players.
Firebreath_Log	$This$ unleashes its firebreath.
Roost	Roost
Roost_Text	If this is Elevated, it becomes Grounded and gains $MainNum$ Health.
Roost_Log	$This$ uses roost.
Take_Flight	Take Flight
Take_Flight_Text	All Grounded Enemies becomes Elevated.
Take_Flight_Log	$This$ is back for more.
Roar	Roar
Roar_Text	This becomes Lively and gains $PowNum$ Power.
Roar_Log	$This$ roars loudly.
Drone	Drone
Drone_Text	Makes itself Elevated and raises its Power before attacking multiple Players at once.
Sound_Waves	Sound Waves
Sound_Waves_Text	Deal $MainNum$ damage to all Players.
Sound_Waves_Log	$This$ creates sound waves.
Alarm	Alarm
Alarm_Text	This gains $PowNum$ Power and becomes Elevated and Locked during this and next Round.
Alarm_Log	$This$ activates an alarm.
Ghost	Ghost
Ghost_Text	Makes Players change Positions, and then deals damage to all Players while Tired.
Jumpscare	Jumpscare
Jumpscare_Text	Deal $MainNum$ damage to all Players.
Jumpscare_Log	$This$ does a jumpscare.
Lament	Lament
Lament_Text	This and another Enemy both become Tired.
Lament_Log	$This$ and $Target$ lament.
Possession	Possession
Possession_Text	A Grounded Player becomes Elevated and loses $PowNum$ Power.
Possession_Log	$This$ possesses $Target$.
Release	Release
Release_Text	An Elevated Player becomes Grounded and Stunned for $StatusNum$ turn.
Release_Log	$This$ releases $Target$.
Herald	Herald
Herald_Text	If not killed fast enough, will start to summon 3 Star Enemies.
Flag_Whack	Flag Whack
Flag_Whack_Text	Deal $MainNum$ damage to a Player.
Flag_Whack_Log	$This$ whacks $Target$.
Announce	Announce
Announce_Text	Summon a random $MiscNum$ Star Enemy.
Announce_Log	$This$ announces in a new enemy.
Kitty	KITTY!!!
Kitty_Text	Alternates between Grounded and Elevated, and attacks any Player at the same Position.
Scratch	Scratch
Scratch_Text	Deal $MainNum$ damage to a Player at the same Position.
Scratch_Log	$This$ scratches $Target$.
Stuck_in_a_Tree	Stuck in a Tree
Stuck_in_a_Tree_Text	If this is Grounded, it becomes Elevated and Tired.
Stuck_in_a_Tree_Log	$This$ gets stuck in a tree.
Land_Feet_First	Land Feet First
Land_Feet_First_Text	If this is Elevated, it becomes Grounded and gains $MainNum$ Health.
Land_Feet_First_Log	$This$ lands feet first.
Lure	Lure
Lure_Text	A Player switches Positions. This becomes Targeted during this and next Round.
Lure_Log	$This$ lures $Target$.
Leprechaun	Leprechaun
Leprechaun_Text	If this is at full Health, it increases Player Stats; otherwise it deals lots of damage.
Prank	Prank
Prank_Text	If this took damage, deal $MainNum$ damage to all Players.
Prank_Log	$This$ pranks everyone.
Offer_Gold	Offer Gold
Offer_Gold_Text	If this is at full Health, all Players gain $PowNum$ Power and $DefNum$ Defense.
Offer_Gold_Log	$This$ gives everyone gold.
Ninja	Ninja
Ninja_Text	Goes after the Player who has the least Health, and alternates between Grounded and Elevated.
Assassinate	Assassinate
Assassinate_Text	Deal $MainNum$ damage to the Player with the least amount of Health. They lose $DefNum$ Defense.
Assassinate_Log	$This$ attempts to assassinate $Target$.
Smoke_Bomb	Smoke Bomb
Smoke_Bomb_Text	This switches Positions. Another Enemy becomes Focused.
Smoke_Bomb_Log	$This$ uses a smoke bomb around $Target$.
Into_Shadows	Into Shadows
Into_Shadows_Text	If this is Elevated, it becomes Grounded and Protected during this and next Round.
Into_Shadows_Log	$This$ leaps into shadows.
Wall_Climb	Wall Climb
Wall_Climb_Text	If this is Grounded, it becomes Elevated and gains $DefNum$ Defense.
Wall_Climb_Log	$This$ climbs a wall.
Page	Page
Page_Text	Basic Enemy who attacks Grounded Players.
Swing	Swing
Swing_Text	Deal $MainNum$ damage to a Grounded Player.
Swing_Log	$This$ swings against $Target$.
Partier	Partier
Partier_Text	Heals all Enemies, gives them random Moods, and increases their Max Health.
Fight	Fight
Fight_Text	Deal $MainNum$ damage to a Grounded Player.
Fight_Log	$This$ fights $Target$.
Share_Drinks	Share Drinks
Share_Drinks_Text	All Enemies gain $MainNum$ Health.
Share_Drinks_Log	$This$ shares drinks.
Share_Snacks	Share Snacks
Share_Snacks_Text	All Enemies gain $MiscNum$ Max Health.
Share_Snacks_Log	$This$ shares snacks.
Drinking_Game	Drinking Game
Drinking_Game_Text	All Enemies get a random Mood.
Drinking_Game_Log	$This$ plays a drinking game.
Pixie	Pixie
Pixie_Text	Changes all Player Moods at the same time, and attacks Elevated Players.
Will_o_Wisp	Will-o'-Wisp
Will_o_Wisp_Text	Deal $MainNum$ damage to an Elevated Player.
Will_o_Wisp_Log	$This$ conjures a will-o'-wisp against $Target$.
Agitate	Agitate
Agitate_Text	All Player become Lively.
Agitate_Log	$This$ agitates everyone.
Drowsiness	Drowsiness
Drowsiness_Text	All Players become Tired.
Drowsiness_Log	$This$ induces drowsiness.
Bother	Bother
Bother_Text	All Players become Focused.
Bother_Log	$This$ bothers everyone.
Puppeteer	Puppeteer
Puppeteer_Text	Makes Players Elevated, then makes them Grounded again to deal damage. Can also give all other Elevated Enemies Extra Abilities.
Collision	Collision
Collision_Text	Deal $MainNum$ damage to all Elevated Players.
Collision_Log	$This$ collides puppets with each other.
Drop	Drop
Drop_Text	Deal $MainNum$ damage to each Elevated Player. They each become Grounded.
Drop_Log	$This$ drops everyone on the floor.
Dangle	Dangle
Dangle_Text	All Grounded Players become Elevated and lose $PowerNum$ Power.
Dangle_Log	$This$ dangles players in the air.
Control	Control
Control_Text	Each other Elevated Enemy gets $StatusNum$ Extra Ability.
Control_Log	$This$ controls other enemies.
Puppy	PUPPY!!!
Puppy_Text	Attacks Players after they're Grounded and their Defense has been reduced.
Bite	Bite
Bite_Text	Deal $MainNum$ damage to a Grounded Player with -1 Defense or less.
Bite_Log	$This$ bites $Target$.
Leap	Leap
Leap_Text	Deal $MainNum$ damage to an Elevated Player. They become Grounded.
Leap_Log	$This$ leaps into $Target$.
Bark	Bark
Bark_Text	All Players lose $DefNum$ Defense.
Bark_Log	$This$ barks.
Cuddle	Cuddle
Cuddle_Text	A Player with $MiscNum$ Defense or more loses $DefNum$ Defense.
Cuddle_Log	$This$ cuddles with $Target$.
Rats	Rats
Rats_Text	Defensive enemy that makes copies of itself.
Swarm	Swarm
Swarm_Text	Deal $MainNum$ damage to a Grounded Player. This gains $DefNum$ Defense.
Swarm_Log	$This$ swarms $Target$.
Strength_in_Numbers	Strength in Numbers
Strength_in_Numbers_Text	Summon a Rats.
Strength_in_Numbers_Log	$This$ attracts more Rats.
Royalty	Royalty
Royalty_Text	Summons more 1 Star Enemies, and then gives them more Power and Max Health.
Order	Order
Order_Text	Deal $MainNum$ damage to a Player. They become Targeted during this and next Round.
Order_Log	$This$ orders guards to attack $Target$. 
Promote	Promote
Promote_Text	Another Enemy gains $MiscNum$ Max Health and $MainNum$ Health.
Promote_Log	$This$ promotes $Target$.
Call	Call
Call_Text	Summon a random $MiscNum$ Star Enemy.
Call_Log	$This$ calls for help.
Procession	Procession
Procession_Text	All Enemies gain $PowNum$ Power.
