controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	statusNumber	miscNumber	abilityTypes
Angel	Restore	Each Player with $MiscNum$ Health or less gains $MainNum$ Health.	AllPlayers	TargetHealthOrLess	TargetHeal	1	3					5	Healing
Angel	Retreat	A Player becomes Tired and gains $PowNum$ Power.	OnePlayer	None	TargetBecomeTired/TargetGainPower	1			1				MoodPlayer/StatPlayer
Angel	Security	A Player switches Positions and gains $DefNum$ Defense.	OnePlayer	None	TargetSwitchPosition/TargetGainDefense	1				1			PositionPlayer/StatPlayer
Angel	Soft_Landing	An Elevated Player gains $MainNum$ Health and becomes Grounded.	OnePlayer	TargetIsElevated	TargetHeal/TargetBecomeGrounded	0	3						Healing/PositionPlayer
Angel	Switch_Up	All Players gain $MainNum$ Health. Then everyone switches Positions.	AllPlayers-All	None-None	TargetHeal-TargetSwitchPosition	1	2						Healing/PositionPlayer/PositionEnemy
Angel	Tailwinds	Each Elevated Player gains $MainNum$ Health and $PowNum$ Power.	AllPlayers	TargetIsElevated	TargetHeal/TargetGainPower	1	3		1				Healing/StatPlayer
Angel	Team_Up	Each Grounded Player gains $MainNum$ Health and $DefNum$ Defense.	AllPlayers	TargetIsGrounded	TargetHeal/TargetGainDefense	1	3			1			Healing/StatPlayer
Wizard	Above_Danger	A Grounded Player becomes Elevated and Protected for $StatusNum$ Rounds.	OnePlayer	TargetIsGrounded	TargetBecomeElevated/TargetBecomeProtected	1					2		PositionPlayer
Wizard	Accelerate	Another Player gains $PowNum$ Power. Decrease their active Cooldown by $MiscNum$.	OtherPlayer	None	TargetGainPower/TargetDecreaseAllCooldown	2			1			1	StatPlayer
Wizard	Bad_Omens	Deal $MainNum$ damage to each Grounded Enemy. They each lose $PowNum$ Power.	AllEnemies	TargetIsGrounded	TargetAttack/TargetLosePower	1	2		1				Attack/StatEnemy
Wizard	Bounce	Deal $MainNum$ damage to each Grounded Enemy. They each become Elevated.	AllEnemies	TargetIsGrounded	TargetAttack/TargetBecomeElevated	0	1						Attack/PositionEnemy
Wizard	Conformity	Deal $MainNum$ damage to all Enemies with a different Position and Mood than this.	AllEnemies	TargetDifferentPosition/TargetDifferentMood	TargetAttack	1	2						Attack
Wizard	Divine_Wind	Each Elevated Player gains $PowNum$ Power. Then deal $MainNum$ damage to each Elevated Enemy.	AllPlayers-AllEnemies	TargetIsElevated-TargetIsElevated	TargetGainPower-TargetAttack	2	2		1				Attack/StatPlayer
Wizard	Flood	Each Grounded Player becomes Elevated. Deal $MainNum$ damage to each Grounded Enemy.	AllPlayers-AllEnemies	None-TargetIsGrounded	TargetBecomeElevated-TargetAttack	1	2						Attack/PositionPlayer
Wizard	Headwinds	Deal $MainNum$ damage to each Elevated Enemy. They each lose $PowNum$ Power.	AllEnemies	TargetIsElevated	TargetAttack/TargetLosePower	1	2		1				Attack/StatEnemy
Wizard	Launch	A Grounded Enemy becomes Elevated and loses $PowNum$ Power.	OneEnemy	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	1			1				PositionEnemy/StatEnemy
Wizard	Manipulate_Time	Deal $MainNum$ damage to each Elevated Enemy. They each get $StatusNum$ Extra Ability.	AllEnemies	TargetIsElevated	TargetAttack/TargetGetExtraAbility	1	3				1		Attack
Wizard	Overgrowth	Each Grounded Player gains $PowNum$ Power. Then deal $MainNum$ damage to each Grounded Enemy.	AllPlayers-AllEnemies	TargetIsGrounded-TargetIsGrounded	TargetGainPower-TargetAttack	2	2		1				Attack/StatPlayer
Wizard	Punch_Up	Deal $MainNum$ damage to all Enemies with $MiscNum$ Health or more.	AllEnemies	TargetHealthOrMore	TargetAttack	0	2					5	Attack
Wizard	Readjust	An Enemy switches Positions and becomes Stunned for $StatusNum$ turn.	OneEnemy	None	TargetSwitchPosition/TargetBecomeStunned	1					1		PositionEnemy
Wizard	Shockwave	Deal $MainNum$ damage to all Enemies, and $SecNum$ damage to all Players.	AllEnemies-AllPlayers	None-None	TargetAttack-TargetAttackSec	0	2	1					Attack
Wizard	Stalactites	Deal $MainNum$ damage to each Elevated Enemy. They each become Grounded.	AllEnemies	TargetIsElevated	TargetAttack/TargetBecomeGrounded	0	1						Attack/PositionEnemy
Wizard	Strain	Deal $MainNum$ damage to each Grounded Enemy. Then this becomes Stunned for $StatusNum$ turn.	AllEnemies-Self	TargetIsGrounded-None	TargetAttack-TargetBecomeStunned	1	3				1		Attack
Wizard	Team_Attack	If all 3 Players are Elevated, deal $MainNum$ damage to all Enemies.	AllPlayers-AllEnemies	AllElevated-None	None-TargetAttack	2	3						Attack
Wizard	Thunder	An Elevated Enemy becomes Grounded and loses $PowNum$ Power.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetLosePower	1			1				PositionEnemy/StatEnemy
Wizard	Tornado	Each Elevated Player becomes Grounded. Deal $MainNum$ damage to each Elevated Enemy.	AllPlayers-AllEnemies	None-TargetIsElevated	TargetBecomeGrounded-TargetAttack	1	2						Attack/PositionPlayer
Wizard	Touchdown	An Elevated Player becomes Grounded and gains $PowNum$ Power.	OnePlayer	TargetIsElevated	TargetBecomeGrounded/TargetGainPower	1			1				PositionPlayer/StatPlayer
Wizard	Warp	A Player switches Positions and becomes Locked for $StatusNum$ Rounds.	OnePlayer	None	TargetSwitchPosition/TargetBecomeLocked	0			1		2		PositionPlayer
