controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	statusNumber	miscNumber	abilityTypes
Page	Swing	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	2						Attack
Partier	Fight	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	2						Attack
Partier	Share_Drinks	All Enemies gain $MainNum$ HealthIcon.	AllEnemies	None	TargetHeal	1	2						Healing
Partier	Share_Snacks	All Enemies gain $MiscNum$ Max HealthIcon.	AllEnemies	None	TargetMaxHealth	0						2	Misc
Partier	Drinking_Game	All Enemies get a random Mood.	AllEnemies	None	TargetRandomMood	1							MoodEnemy
Pixie	Will_o_Wisp	Deal $MainNum$ damage to an Elevated Player.	OnePlayer	TargetIsElevated/TargetEffective	TargetAttack	0	2						Attack
Pixie	Agitate	All Player become Lively.	AllPlayers	None	TargetBecomeLively	1							MoodPlayer
Pixie	Drowsiness	All Players become Tired.	AllPlayers	None	TargetBecomeTired	1							MoodPlayer
Pixie	Bother	All Players become Focused.	AllPlayers	None	TargetBecomeFocused	1							MoodPlayer
Puppeteer	Collision	Deal $MainNum$ damage to all Elevated Players.	AllPlayers	TargetIsElevated	TargetAttack	0	2						Attack
Puppeteer	Drop	Deal $MainNum$ damage to each Elevated Player. They each become Grounded.	AllPlayers	TargetIsElevated	TargetAttack/TargetBecomeGrounded	1	4						Attack/PositionPlayer
Puppeteer	Dangle	All Grounded Players become Elevated and lose $PowNum$ PowerIcon.	AllPlayers	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	1			1				PositionPlayer/StatPlayer
Puppeteer	Control	Each other Elevated Enemy gets $StatusNum$ Extra Ability.	AllOtherEnemies	TargetIsElevated	TargetGetExtraAbility	2					1		Misc
Puppy	Bite	Deal $MainNum$ damage to a Grounded Player with -1 DefenseIcon or less.	OnePlayer	TargetIsGrounded/TargetDefenseOrLess	TargetAttack	0	3					-1	Attack
Puppy	Leap	Deal $MainNum$ damage to an Elevated Player. They become Grounded.	OnePlayer	TargetIsElevated	TargetAttack/TargetBecomeGrounded	0	1						Attack/PositionPlayer
Puppy	Bark	All Players lose $DefNum$ DefenseIcon.	AllPlayers	None	TargetLoseDefense	1				1			StatPlayer
Puppy	Cuddle	A Player with $MiscNum$ DefenseIcon or more loses $DefNum$ DefenseIcon.	OnePlayer	TargetDefenseOrMore	TargetLoseDefense					2		1	StatPlayer
Rats	Gnaw	Deal $MainNum$ damage to a Grounded Player. This gains $DefNum$ DefenseIcon.	OnePlayer-Self	TargetIsGrounded-None	TargetAttack-TargetGainDefense	0	1			1			Attack/StatEnemy
Rats	Breed	Summon a Rats.	Self	CanSummon	TargetCopy	1							Misc
Royalty	Order	Deal $MainNum$ damage to a Player. They become Targeted for $StatusNum$ Rounds.	OnePlayer	None	TargetAttack/TargetBecomeTargeted	0	2				2		Attack
Royalty	Promote	Another Enemy gains $MiscNum$ Max Health and $MainNum$ Health.	OtherEnemy	None	TargetMaxHealth/TargetHeal	2	5					5	Healing
Royalty	Call	Summon a random $MiscNum$ Star Enemy.	Self	CanSummon	SummonStar	1						1	Misc
Royalty	Procession	All Enemies gain $PowNum$ PowerIcon.	AllEnemies	None	TargetGainPower	1			1				StatEnemy
Siren	Drown	Deal $MainNum$ damage to a Stunned Player.	OnePlayer	TargetIsStunned	TargetAttack	0	3						Attack
Siren	Shipwreck	A Focused Player loses $DefNum$ DefenseIcon and becomes Stunned for $StatusNum$ turns.	OnePlayer	TargetIsFocused/TargetNotStunned	TargetLoseDefense/TargetBecomeStunned	1				1	2		StatPlayer
Siren	Manipulate	A Player becomes Focused and Locked for $StatusNum$ Rounds.	OnePlayer	TargetNotFocused	TargetBecomeFocused/TargetBecomeLocked	0					2		MoodPlayer
Siren	Sing	A $MiscNum$ StarIcon Enemy gains $DefenseNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.	OtherEnemy	NoTargetedEnemy/TargetIsStar	TargetBecomeTargeted/TargetGainDefense	1				1	2	2	StatEnemy
Spider	Stab_Prey	If this is Elevated, deal $MainNum$ damage to an Elevated Player.	Self-OnePlayer	TargetIsElevated-TargetIsElevated	None-TargetAttack	0	4						Attack
Spider	Trap	If this is Elevated, a Grounded Player becomes Elevated and Locked for $StatusNum$ Rounds.	Self-OnePlayer	TargetIsElevated-TargetIsGrounded	None-TargetBecomeElevated/TargetBecomeLocked	0					2		PositionPlayer
Spider	Silk_Wrap	An Elevated Player becomes Tired and loses $PowNum$ PowerIcon.	OnePlayer	TargetIsElevated/TargetPowerOrMore	TargetBecomeTired/TargetLosePower	1			1				MoodPlayer/StatPlayer
Spider	Spin_Web	A Grounded Enemy becomes Elevated and gains $DefNum$ Defense.	OneEnemy	TargetIsGrounded/TargetDefenseOrLess	TargetBecomeElevated/TargetGainDefense	0				1			PositionEnemy/StatEnemy
Taskmaster	Punishment	Does $MainNum$ damage to Player with a different Mood than this.	OnePlayer	TargetDifferentMood	TargetAttack	1	7						Attack
Taskmaster	Demand_Lively	This becomes Lively.	Self	TargetNotLively	TargetBecomeLively	0							MoodEnemy
Taskmaster	Demand_Focused	This becomes Focused.	Self	TargetNotFocused	TargetBecomeFocused	0							MoodEnemy
Taskmaster	Demand_Tired	This becomes Tired.	Self	TargetNotTired	TargetBecomeTired	0							MoodEnemy
Trickster	Mischief	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	3						Attack
Trickster	Delude	A Player becomes Lively, Grounded, and Locked for $StatusNum$ Round.	OnePlayer	None	TargetBecomeLively/TargetBecomeGrounded/TargetBecomeLocked	0					2		MoodPlayer/PositionPlayer
Trickster	Delay	A Grounded Player gets $MiscNum$ CooldownIcon added to one of their available Abilities.	OnePlayer	TargetIsGrounded/TargetZeroCooldown	TargetForceOneCooldown	1						2	Misc
Trickster	Sidetrack	A Grounded Player gets $MiscNum$ CooldownIcon added to all of their inactive Abilities.	OnePlayer	TargetIsGrounded/TargetActiveCooldown	TargetIncreaseAllCooldown	1						1	Misc
Wall	Toughen	This gains $MainNum$ HealthIcon and gains $DefNum$ DefenseIcon.	Self	TargetInjured/TargetDefenseOrLess	TargetHeal/TargetGainDefense	1	2			1			Healing/StatEnemy
Wall	Block	This becomes Grounded and Targeted for $StatusNum$ Rounds.	Self	NoTargetedEnemy	TargetBecomeGrounded/TargetBecomeTargeted	0					2		PositionEnemy
Wolf	Pounce	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded/TargetEffective	TargetAttack	0	3						Attack
Wolf	Hunt	An Enemy becomes Lively, and a Player becomes Focused.	OneEnemy-OnePlayer	TargetNotLively-TargetNotFocused	TargetBecomeLively-TargetBecomeFocused	1							MoodPlayer/MoodEnemy
Wolf	Nurture	All $MiscNum$ StarIcon Enemies gain $PowNum$ PowerIcon and $DefNum$ DefenseIcon.	AllEnemies	TargetIsStar	TargetGainPower/TargetGainDefense	1			1	1		1	StatEnemy
Wolf	Guard	A $MiscNum$ StarIcon Enemy becomes Protected for $StatusNum$ Rounds.	OneEnemy	TargetIsStar	TargetBecomeProtected	2					2	1	Misc
