controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	miscNumber	abilityTypes
Knight	Upset	A Grounded Enemy becomes Sad and loses $DefenseStat$ Defense.	OneEnemy	TargetIsGrounded	TargetBecomeSad/TargetLoseDefense	1				1		EmotionEnemy/StatEnemy
Angel	Air_Combat	A Grounded Player and Grounded Enemy both become Elevated. The Player gains $PowerStat$ Power.	OnePlayer-OneEnemy	TargetIsGrounded-TargetIsGrounded	TargetBecomeElevated/TargetGainPower-TargetBecomeElevated	0			1			PositionPlayer/PositionEnemy/StatPlayer
Angel	Assist	Another Player gains $Num$ Health and gets $MiscStat$ Extra Ability.	OtherPlayer		TargetHeal/TargetGetExtraAbility	1	2				1	Healing
Angel	Calm_Down	Each non-Neutral Player gain $Num$ Health and becomes Neutral.	AllPlayers	TargetNotNeutral	TargetHeal/TargetBecomeNeutral	0	2					Healing/EmotionPlayer
Angel	Crash_Land	An Elevated Enemy becomes Grounded and loses $DefenseStat$ Defense.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetLoseDefense	1				1		PositionEnemy/StatEnemy
Angel	Enrage	An Elevated Player becomes Angry and Grounded.	OnePlayer	TargetIsElevated	TargetBecomeGrounded/TargetBecomeAngry	0						EmotionPlayer/PositionPlayer
Angel	Exhaust	An Enemy becomes Sad and loses $PowerStat$ Power.	OneEnemy		TargetBecomeSad/TargetLosePower	1			1			EmotionEnemy/StatEnemy
Angel	Exorcism	An Elevated Enemy loses $DefenseStat$ Defense. Each Elevated Player gains $Num$ Health.	OneEnemy-AllPlayers	TargetIsElevated-TargetIsElevated	TargetLoseDefense-TargetHeal	1	3			1		Healing/StatEnemy
Angel	Gift_of_Flight	A Grounded Enemy becomes Happy and Elevated.	OneEnemy	TargetIsGrounded	TargetBecomeElevated/TargetBecomeHappy	0						EmotionEnemy/PositionEnemy
Angel	Hide	A Grounded Enemy loses $PowerStat$ Power. Each Grounded Player gains $Num$ Health.	OneEnemy-AllPlayers	TargetIsGrounded-TargetIsGrounded	TargetLosePower-TargetHeal	1	3		1			Healing/StatEnemy
Angel	Immunity	A Player gains $Num$ Health and becomes Protected and Targeted for $MiscStat$ turn.	OnePlayer		TargetHeal/TargetBecomeProtected/TargetBecomeTargeted	2	3				1	Healing
Angel	Joy	An Elevated Player gains $Num$ Health and becomes Happy.	OnePlayer	TargetIsElevated	TargetHeal/TargetBecomeHappy	0	3					Healing/EmotionPlayer
Angel	Lift_Up	A Grounded Player gains $Num$ Health and becomes Elevated.	OnePlayer	TargetIsGrounded	TargetHeal/TargetBecomeElevated	0	3					Healing/PositionPlayer
Angel	Motivate	A Player gains $Num$ Health. Decrease their active Cooldown by $MiscStat$.	OnePlayer	None	TargetHeal/TargetDecreaseAllCooldown	1	3				1	Healing
Angel	Overheal	All Players gain $MiscStat$ Max Health and $Num$ Health.	AllPlayers	None	TargetMaxHealth/TargetHeal	2	2				1	Healing
Angel	Petrify	An Elevated Enemy becomes Grounded, Neutral, and Stunned for $MiscStat$ turn.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetBecomeNeutral/TargetBecomeStunned	1					1	EmotionEnemy/PositionEnemy
Angel	Plummet	An Elevated Enemy becomes Angry and Grounded.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetBecomeAngry	0						EmotionEnemy/PositionEnemy
Angel	Retreat	A Grounded Player gains $Num$ Health and becomes Sad.	OnePlayer	TargetIsGrounded	TargetHeal/TargetBecomeSad	0	3					Healing/EmotionPlayer
Angel	Security	A Player switches Positions and gains $DefenseStat$ Defense.	OnePlayer		TargetSwitchPosition/TargetGainDefense	1				1		PositionPlayer/StatPlayer
Angel	Soft_Landing	An Elevated Player gains $Num$ Health and becomes Grounded.	OnePlayer	TargetIsElevated	TargetHeal/TargetBecomeGrounded	0	3					Healing/PositionPlayer
Angel	Tailwinds	Each Elevated Player gains $Num$ Health and $DefenseStat$ Defense.	AllPlayers	TargetIsElevated	TargetHeal/TargetGainDefense	1	3			1		Healing/StatPlayer
Angel	Team_Up	Each Grounded Player gains $Num$ Health and $PowerStat$ Power.	AllPlayers	TargetIsGrounded	TargetHeal/TargetGainPower	1	3		1			Healing/StatPlayer
Wizard	Above_Danger	A Grounded Player becomes Elevated and Protected for $MiscStat$ turn.	OnePlayer	TargetIsGrounded	TargetBecomeElevated/TargetBecomeProtected	1					1	PositionPlayer
Wizard	Accelerate	Another Player gains $PowerStat$ Power. Decrease their active Cooldown by $MiscStat$.	OtherPlayer	None	TargetGainPower/TargetDecreaseAllCooldown	2			1		1	StatPlayer
Wizard	Bad_Omens	Deal $Num$ damage to all Enemies. They lose $PowerStat$ Power.	AllEnemies		TargetAttack/TargetLosePower	2	2		1			Attack/StatEnemy
Wizard	Bind	An Elevated Enemy becomes Grounded and Stunned for $MiscStat$ turn.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetBecomeStunned	1					1	PositionEnemy
Wizard	Bounce	Deal $Num$ damage to each Grounded Enemy. They each become Elevated.	AllEnemies	TargetIsGrounded	TargetAttack/TargetBecomeElevated	0	1					Attack/PositionEnemy
Wizard	Chill	Deal $Num$ damage to each Grounded Enemy. Then this becomes Stunned for $MiscStat$ turn.	AllEnemies-Self	TargetIsGrounded-None	TargetAttack-TargetBecomeStunned	1	3				1	Attack
Wizard	Crown	A Player gains $PowerStat$ Power and becomes Targeted for $MiscStat$ turns.	OnePlayer		TargetGainPower/TargetBecomeTargeted	1			1		2	StatPlayer
Wizard	Flood	Each Grounded Player becomes Elevated. Then deal $Num$ damage to each Grounded Enemy.	AllPlayers-AllEnemies	TargetIsGrounded-TargetIsGrounded	TargetBecomeElevated-TargetAttack	2	4					Attack/PositionPlayer
Wizard	Gust	An Elevated Enemy becomes Grounded and loses $PowerStat$ Power.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetLosePower	1			1			PositionEnemy/StatEnemy
Wizard	Headwinds	Deal $Num$ damage to each Elevated Enemy. They each lose $PowerStat$ Power.	AllEnemies	TargetIsElevated	TargetAttack/TargetLosePower	1	2		1			Attack/StatEnemy
Wizard	Manipulate_Time	Deal $Num$ damage to each Elevated Enemy. They each get $MiscStat$ Extra Ability.	AllEnemies	TargetIsElevated	TargetAttack/TargetGetExtraAbility	1	3				1	Attack
Wizard	Punch_Up	Deal $Num$ damage to all Enemies with $MiscStat$ Health or more.	AllEnemies	TargetHealthOrMore	TargetAttack	0	2				6	Attack
Wizard	Quick_Attack	A Grounded Player gains $PowerStat$ Power. Deal $Num$ damage to each Grounded Enemy.	OnePlayer-AllEnemies	TargetIsGrounded-TargetIsGrounded	TargetGainPower-TargetAttack	1	2		1			Attack/StatPlayer
Wizard	Readjust	All Players and Enemies switch Positions.	All	None	TargetSwitchPosition	0						PositionPlayer/PositionEnemy
Wizard	Restrain	Deal $Num$ damage to all Enemies. They all become Locked for $MiscStat$ turns.	AllEnemies		TargetAttack/TargetBecomeLocked	1	2				2	Attack
Wizard	Shockwave	Deal $Num$ damage to all Enemies, and $Sec$ damage to all Players.	AllEnemies-AllPlayers	None-None	TargetAttack-TargetAttackSec	0	2	1				Attack
Wizard	Stalactites	Deal $Num$ damage to each Elevated Enemy. They each become Grounded.	AllEnemies	TargetIsElevated	TargetAttack/TargetBecomeGrounded	0	1					Attack/PositionEnemy
Wizard	Storm	Each Elevated Player becomes Grounded. Then deal $Num$ damage to each Elevated Enemy.	AllPlayers-AllEnemies	TargetIsElevated-TargetIsElevated	TargetBecomeGrounded-TargetAttack	2	4					Attack/PositionPlayer
Wizard	Team_Attack	If all 3 Players are Elevated, deal $Num$ damage to all Enemies.	AllPlayers-AllEnemies	AllElevated-None	None-TargetAttack	1	3					Attack
Wizard	Touchdown	An Elevated Player becomes Grounded and gains $PowerStat$ Power.	OnePlayer	TargetIsElevated	TargetBecomeGrounded/TargetGainPower	1			1			PositionPlayer/StatPlayer
Wizard	Warp	A Grounded Enemy becomes Elevated and loses $PowerStat$ Power.	OneEnemy	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	0			1			PositionEnemy/StatEnemy
