controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	miscNumber	abilityTypes
Ghost	Possession	A Grounded Player becomes Elevated and loses $PowerStat$ Power.	OnePlayer	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	1			1			PositionPlayer/StatPlayer
Ghost	Release	An Elevated Player becomes Grounded and Stunned for $MiscStat$ turn.	OnePlayer	TargetIsElevated	TargetBecomeGrounded/TargetBecomeStunned	2					1	PositionPlayer
Herald	Flag_Whack	Deal $Num$ damage to a Player.	OnePlayer		TargetAttack	0	2					Attack
Herald	Announce	Summon a random $MiscStat$ Star Enemy.	Self	CanSummon	SummonStar	2					3	Misc
Kitty	Scratch	Deal $Num$ damage to a Player with the same Position as this.	OnePlayer	TargetSamePosition	TargetAttack	0	2					Attack
Kitty	Stuck_in_a_Tree	If this is Grounded, it becomes Elevated and Sad.	Self	TargetIsGrounded	TargetBecomeElevated/TargetBecomeSad	0						EmotionEnemy/PositionEnemy
Kitty	Land_Feet_First	If this is Elevated, it becomes Grounded and gains $Num$ Health.	Self	TargetIsElevated	TargetBecomeGrounded/TargetHeal	0	2					Healing/PositionEnemy
Kitty	Lure	A Player switches Positions. This becomes Targeted for $MiscStat$ turn.	OnePlayer-Self	None-None	TargetSwitchPosition-TargetBecomeTargeted	1					1	PositionPlayer
Leprechaun	Prank	If this took damage, deal $Num$ damage to all Players.	Self-AllPlayers	TargetNotMaxHealth-None	None-TargetAttack	0	3					Attack
Leprechaun	Caught_at_a_Good_Time	If this is at full Health, all Players gain $PowerStat$ Power and $DefenseStat$ Defense.	Self-AllPlayers	TargetAtMaxHealth-None	None-TargetGainPower/TargetGainDefense	1			1	1		Misc
Ninja	Assassinate	Deal $Num$ damage to the Player with the least amount of Health.	OnePlayer	None	TargetAttack	0	3					Attack
Ninja	Shuriken	A Player loses $PowerStat$ Power and $DefenseStat$ Defense.	OnePlayer	None	TargetLosePower/TargetLoseDefense	1			1	1		StatPlayer
Ninja	Into_Shadows	If this is Elevated, it becomes Grounded and Protected for $MiscStat$ turn.	Self	TargetIsElevated	TargetBecomeGrounded/TargetBecomeProtected	1					1	PositionEnemy
Ninja	Wall_Climb	If this is Grounded, it becomes Elevated and gains $DefenseStat$ Defense.	Self	TargetIsGrounded	TargetBecomeElevated/TargetGainDefense	0				1		PositionEnemy/StatEnemy
Page	Swing	Deal $Num$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	2					Attack
Partier	Fight	Deal $Num$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	2					Attack
Partier	Share_Drinks	All Enemies gain $Num$ Health.	AllEnemies	None	TargetHeal	1	2					Healing
Partier	Share_Snacks	All Enemies gain $MiscStat$ Max Health.	AllEnemies	None	TargetMaxHealth						2	Misc
Partier	Drinking_Game	All Enemies get a random Emotion.	AllEnemies	None	TargetRandomEmotion	1						EmotionEnemy
Pixie	Will_o_Wisp	Deal $Num$ damage to an Elevated Player.	OnePlayer	TargetIsElevated/TargetEffective	TargetAttack	0	2				0	Attack
Pixie	Cast_Happiness	All Player become Happy.	AllPlayers	None	TargetBecomeHappy	1						EmotionPlayer
Pixie	Cast_Sadness	All Players become Sad.	AllPlayers	None	TargetBecomeSad	1						EmotionPlayer
Pixie	Cast_Anger	All Players become Angry.	AllPlayers	None	TargetBecomeAngry	1						EmotionPlayer
Puppeteer	Collision	Deal $Num$ damage to all Elevated Players.	AllPlayers	TargetIsElevated	TargetAttack	0	2					Attack
Puppeteer	Drop	Deal $Num$ damage to all Elevated Players. They become Grounded.	AllPlayers	TargetIsElevated	TargetAttack/TargetBecomeGrounded	1	4					Attack/PositionPlayer
Puppeteer	Dangle	All Grounded Players become Elevated and lose $DefenseStat$ Defense.	AllPlayers	TargetIsGrounded	TargetBecomeElevated/TargetLoseDefense	1				1		PositionPlayer/StatPlayer
Puppeteer	Control	Each other Elevated Enemy gets $MiscStat$ Extra Ability.	AllOtherEnemies	TargetIsElevated	TargetGetExtraAbility	2					1	Misc
Puppy	Bite	Deal $Num$ damage to a Grounded Player with -1 Defense or less.	OnePlayer	TargetIsGrounded/TargetDefenseOrLess	TargetAttack	0	3				-1	Attack
Puppy	Leap	Deal $Num$ damage to an Elevated Player. They become Grounded.	OnePlayer	TargetIsElevated	TargetAttack/TargetBecomeGrounded	0	1					Attack/PositionPlayer
Puppy	Bark	All Players lose $DefenseStat$ Defense.	AllPlayers	None	TargetLoseDefense	1				1		StatPlayer
Puppy	Cuddle	A Player with $MiscStat$ Defense or more loses $DefenseStat$ Defense.	OnePlayer	TargetDefenseOrMore	TargetLoseDefense					2	1	StatPlayer
Rats	Swarm	Deal $Num$ damage to a Grounded Player. This gains $DefenseStat$ Defense.	OnePlayer-Self	TargetIsGrounded-None	TargetAttack-TargetGainDefense	0	1			1		Attack/StatEnemy
Rats	Strength_in_Numbers	Summon a Rats.	Self	CanSummon	TargetCopy	1						Misc
Royalty	Order	Deal $Num$ damage to a Player. They become Targeted for $MiscStat$ turn.	OnePlayer	None	TargetAttack/TargetBecomeTargeted	0	2				1	Attack
Royalty	Promote	Another Enemy gains $MiscStat$ Max Health and $Num$ Health.	OtherEnemy	None	TargetMaxHealth/TargetHeal	2	5				5	Healing
Royalty	Call	Summon a random $MiscStat$ Star Enemy.	Self	CanSummon	SummonStar	1					1	Misc
Royalty	Procession	All Enemies gain $PowerStat$ Power.	AllEnemies	None	TargetGainPower	1			1			StatEnemy
Siren	Drown	Deal $Num$ damage to a Stunned Player.	OnePlayer	TargetIsStunned	TargetAttack	0	3					Attack
Siren	Shipwreck	An Angry Player loses $DefenseStat$ Defense and becomes Stunned for $MiscStat$ turns.	OnePlayer	TargetIsAngry/TargetNotStunned	TargetLoseDefense/TargetBecomeStunned	1				1	2	StatPlayer
Siren	Manipulate	A Player becomes Angry and Locked for $MiscStat$ turns.	OnePlayer	TargetNotAngry	TargetBecomeAngry/TargetBecomeLocked	0					2	EmotionPlayer
Siren	Sing	A $MiscStat$ Star Enemy becomes Targeted for $MiscStat$ turn.	OtherEnemy	NoTargetedEnemy/TargetIsStar	TargetBecomeTargeted	0					1	Misc
Spider	Stab_Prey	If this is Elevated, deal $Num$ damage to an Elevated Player.	Self-OnePlayer	TargetIsElevated-TargetIsElevated	None-TargetAttack	0	3					Attack
Spider	Trapped	If this is Elevated, a Grounded Player becomes Elevated and Locked for $MiscStat$ turns.	Self-OnePlayer	TargetIsElevated-TargetIsGrounded	None-TargetBecomeElevated/TargetBecomeLocked	0					2	PositionPlayer
Spider	Silk_Wrap	An Elevated Player becomes Sad and loses $PowerStat$ Power.	OnePlayer	TargetIsElevated/TargetPowerOrMore	TargetBecomeSad/TargetLosePower	1			1		0	EmotionPlayer/StatPlayer
Spider	Spin_Web	A Grounded Enemy becomes Elevated and gains $DefenseStat$ Defense.	OneEnemy	TargetIsGrounded/TargetDefenseOrLess	TargetBecomeElevated/TargetGainDefense	0				1	3	PositionEnemy/StatEnemy
Taskmaster	Punishment	Does $Num$ damage to Player who doesn't have the same Emotion as this.	OnePlayer	TargetDifferentEmotion	TargetAttack	1	7					Attack
Taskmaster	Demand_Happiness	This becomes Happy.	Self	TargetNotHappy	TargetBecomeHappy	0						EmotionEnemy
Taskmaster	Demand_Anger	This becomes Angry.	Self	TargetNotAngry	TargetBecomeAngry	0						EmotionEnemy
Taskmaster	Demand_Sadness	This becomes Sad.	Self	TargetNotSad	TargetBecomeSad	0						EmotionEnemy
Trickster	Mischief	Deal $Num$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	3					Attack
Trickster	Delude	A Grounded Player becomes Happy and Locked for $MiscStat$ turns.	OnePlayer	TargetIsGrounded	TargetBecomeHappy/TargetBecomeLocked	0					2	EmotionPlayer
Trickster	Delay	One of a Grounded Player's Abilities that can be used is on Cooldown for $MiscStat$ turns.	OnePlayer	TargetIsGrounded/TargetZeroCooldown	TargetForceOneCooldown	1					2	Misc
Trickster	Distract	A Grounded Player's active Ability Cooldown are increased by $MiscStat$.	OnePlayer	TargetIsGrounded/TargetActiveCooldown	TargetIncreaseAllCooldown	1					1	Misc
Wall	Toughen	This gains $Num$ Health and gains $DefenseStat$ Defense.	Self	TargetInjured/TargetDefenseOrLess	TargetHeal/TargetGainDefense	1	2			1	3	Healing/StatEnemy
Wall	In_the_Way	This becomes Grounded and Targeted for $MiscStat$ turn.	Self	NoTargetedEnemy	TargetBecomeGrounded/TargetBecomeTargeted	0					1	Misc
Wolf	Slash	Deal $Num$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded/TargetEffective	TargetAttack	0	3				0	Attack
Wolf	Howl	An Enemy becomes Angry, and a Player becomes Sad.	OneEnemy-OnePlayer	TargetNotAngry-TargetNotSad	TargetBecomeAngry-TargetBecomeSad	0						EmotionPlayer/EmotionEnemy
Wolf	Nurture	All $MiscStat$ Star Enemies gain $PowerStat$ Power and $DefenseStat$ Defense.	AllEnemies	TargetIsStar	TargetGainPower/TargetGainDefense	1			1	1	1	StatEnemy
Wolf	Guard	A $MiscStat$ Star Enemy becomes Protected for $MiscStat$ turn.	OneEnemy	TargetIsStar	TargetBecomeProtected	1					1	Misc
