Title	RANDOMLY GENERATED
Gain_Extra_Ability	$This$ gets extra Abilities on their turn ($MainNum$).
Use_Extra_Ability	$This$ uses another Ability.
StarIcon	StarIcon
StarIcon_Text	More StarIcon = Stronger Enemy type.
Defeat_Waves	Defeat $MainNum$ waves of enemies.
Title_Screen	Title Screen
Quit_Game	Quit
Round	Round $MainNum$
Wave	Wave $MainNum$ / $Max$
Enter_Fight	$This$ enters the fight.
Quit_Fight	You quit.
Game_Won	You won!
Game_Lost	You lost.
Waves_Survived	Waves survived: $MainNum$
Time_Taken	Time taken: $Time$
Increase_Stat	$This$ gains $MainNum$ $Stat$.
Decrease_Stat	$This$ loses $MainNum$ $Stat$.
Become_New	$This$ becomes $Change$.
Change_Status	$This$ is $Status$ (turns: $MainNum$).
Died	$This$ has died.
Revived	$This$ comes back to life.
Choose_Ability	$This$: Choose an Ability.
Must_Choose_Targeted	$Target$ is Targeted.
Choose_One_Player	Choose a Player to target ($Ability$).
Choose_Another_Player	Choose another Player to target ($Ability$).
Choose_An_Enemy	Choose an Enemy to target ($Ability$).
Confirm_No_Target	Use $Ability$?
Confirm_Target_One	Use $Ability$ on $Target1$?
Confirm_Target_Two	Use $Ability$ on $Target1$ and $Target2$?
Use_Ability	$This$ uses $Ability$.
Tutorial	Tutorial
Tutorial_10	This is a turn-based RPG where your Players are given random Abilities to fight against random Enemies.
Tutorial_20	You always have the same 3 Players. Right click on the Knight to see what they do.
Tutorial_30	Here's your first Enemy. Use the Knight's Ability against them.
Tutorial_40	The Ability you used has 1 turn of cooldown (CooldownIcon), and cannot be used this Round. Instead use a different Ability.
Tutorial_50	You killed your first Enemy! Now you may have noticed your Knight is Focused.
Tutorial_51	Everyone begins with a random Mood. Each Mood is effective against a different Mood.
Tutorial_52	To see which Moods are effective against which, open the Mood Guide (usually it's at the bottom right of the screen).
Tutorial_60	Here's your 2nd Player. Right click on the Angel to read what they do.
Tutorial_70	This Page is Lively. Since Lively is super effective against Focused, this puts your Knight at a disadvantage.
Tutorial_71	But you can have the Angel make the Page Tired. That way, your Focused Knight will gain the advantage.
Tutorial_90	Everyone has a Position: Grounded or Elevated. Your Knight always starts Grounded, and Angel always starts Elevated.
Tutorial_91	One of the Knight's big weaknesses is that they can't attack Enemies with a different Position, which means they cannot attack the Crows.
Tutorial_100	And now, your 3rd Player. Right click on the Wizard to read what they do.
Tutorial_110	Your Wizard has an Ability that forces all Elevated Enemies to be Grounded. Use Stalactites against the 2 Crows.
Tutorial_120	Now that all the Enemies are Grounded, your Knight is capable of hitting them, so finish them off.
Tutorial_121	Note that for your convenience, Attack Abilities are colored red, Healing Abilities are colored green, the others are colored blue.
Tutorial_130	You’ve completed the tutorial. In the main game, the 3 Players have 6 Abilities, and each fight also has 2 different Rules, all chosen at random.
Tutorial_131	To win, you'll have to defeat 5 waves of randomly selected Enemies, with the Enemies getting stronger on later waves. Glhf!
Tutorial_Finished	Tutorial finished.
Next	Next
Encyclopedia	Encyclopedia
Exit	Exit
Abilities	Abilities
Search_Abilities	Search Abilities
Type_1	Type 1
Type_2	Type 2
Any	Any
Attack	Attack
Healing	Healing
MoodPlayer	Mood - Player
MoodEnemy	Mood - Enemy
PositionPlayer	Position - Player
PositionEnemy	Position - Enemy
StatPlayer	Stats - Player
StatEnemy	Stats - Enemy
Player	Player
Enemies	Enemies
Search_Enemies	Search Enemies
Right_Click_Reminder	Right click to read about Enemies
Default_Position	Default Position
Rules	Rules
Chosen_Rule	Rule: $Rule$
Apply_Rule	Applying Rule: $Rule$.
Knight	Knight
Knight_Text	Deals lots of damage to individual Enemies at the same Position as it. Has control over Moods and DefenseIcon.
Battle_Cry	Battle Cry
Battle_Cry_Text	A Player becomes Focused and gains $DefNum$ DefenseIcon.
Cheer	Cheer
Cheer_Text	Another Player becomes Lively and gets $StatusNum$ Extra Ability.
Debilitate	Debilitate
Debilitate_Text	An Enemy at the same Position becomes Tired and loses $DefNum$ DefenseIcon.
Dedicate	Dedicate
Dedicate_Text	This becomes Focused. Then deal $MainNum$ damage to an Enemy at the same Position.
Duel	Duel
Duel_Text	Deal $MainNum$ damage to an Enemy at the same Position. They gain $PowNum$ PowerIcon and lose $DefNum$ DefenseIcon.
Heavy_Swing	Heavy Swing
Heavy_Swing_Text	This becomes Tired. Then deal $MainNum$ damage to an Enemy at the same Position.
Immobilize	Immobilize
Immobilize_Text	Deal $MainNum$ damage to an Enemy at the same Position. They become Locked for $StatusNum$ Round.
Impale	Impale
Impale_Text	Deal $MainNum$ damage to an Enemy at the same Position. They becomes Stunned for $StatusNum$ turn.
Joust	Joust
Joust_Text	Deal $MainNum$ damage to an Enemy at the same Position. Then this loses $PowNum$ PowerIcon.
Knock_Down	Knock Down
Knock_Down_Text	Deal $MainNum$ damage to an Enemy at the same Position. Then they lose $DefNum$ DefenseIcon.
Mirror	Mirror
Mirror_Text	Deal $MainNum$ damage to an Enemy with the same Position and Mood.
Motivate	Motivate
Motivate_Text	An Enemy at the same Position becomes Lively. Then deal $MainNum$ damage to them.
Obsession	Obsession
Obsession_Text	All Enemies become Focused.
Occupy	Occupy
Occupy_Text	An Enemy at the same Position becomes Focused. Then deal $MainNum$ damage to them.
Overwhelm	Overwhelm
Overwhelm_Text	An Enemy at the same Position becomes Tired. Then deal $MainNum$ damage to them.
Patience	Patience
Patience_Text	A Player becomes Tired, and an Enemy becomes Lively.
Pillage	Pillage
Pillage_Text	All Players gain $DefNum$ DefenseIcon. An Enemy loses $DefNum$ DefenseIcon.
Prioritize	Prioritize
Prioritize_Text	Deal $MainNum$ damage to an Enemy at the same Position. They become Targeted for $StatusNum$ Rounds.
Redirect	Redirect
Redirect_Text	Another Player gains $DefNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.
Strike	Strike
Strike_Text	This gains $DefNum$ DefenseIcon. Then deal $MainNum$ damage to an Enemy at the same Position.
Take_Over	Take Over
Take_Over_Text	This becomes Focused, and another Player becomes Tired.
Twirl	Twirl
Twirl_Text	This becomes Lively. Then deal $MainNum$ damage to an Enemy at the same Position.
Angel	Angel
Angel_Text	Heals Players and starts Elevated. Can do everything but attack.
Assist	Assist
Assist_Text	Another Grounded Player gains $MainNum$ HealthIcon and gets $StatusNum$ Extra Ability.
Concentration	Concentration
Concentration_Text	An Elevated Player gains $MainNum$ HealthIcon and becomes Focused.
Disorient	Disorient
Disorient_Text	An Enemy switches Positions and loses $DefNum$ DefenseIcon.
Deplete	Deplete
Deplete_Text	A Grounded Enemy loses $DefNum$ DefenseIcon. Each Grounded Player gains $MainNum$ HealthIcon.
Exhaustion	Exhaustion
Exhaustion_Text	An Enemy becomes Tired and loses $PowNum$ PowerIcon.
Exorcism	Exorcism
Exorcism_Text	An Elevated Enemy loses $PowNum$ PowerIcon. Each Elevated Player gains $MainNum$ HealthIcon.
Gift_of_Flight	Gift of Flight
Gift_of_Flight_Text	A Grounded Enemy becomes Lively and Elevated.
Immunity	Immunity
Immunity_Text	Another Elevated Player gains $MainNum$ HealthIcon and becomes Protected for $StatusNum$ Round.
Joy	Joy
Joy_Text	A Grounded Player gains $MainNum$ HealthIcon and becomes Lively.
Level_Up	Level Up
Level_Up_Text	A Player gains $PowNum$ PowerIcon, $DefNum$ DefenseIcon, and becomes Stunned for $StatusNum$ turn.
Lift_Up	Lift Up
Lift_Up_Text	A Grounded Player gains $MainNum$ HealthIcon and becomes Elevated.
Overheal	Overheal
Overheal_Text	All Players gain $MiscNum$ Max HealthIcon and $MainNum$ HealthIcon.
Plummet	Plummet
Plummet_Text	An Elevated Enemy becomes Focused and Grounded.
Preserve	Preserve
Preserve_Text	A Player gains $MainNum$ HealthIcon and becomes Locked for $StatusNum$ Round.
Restore	Restore
Restore_Text	Each Player with $MiscNum$ HealthIcon or less gains $MainNum$ HealthIcon.
Recuperate	Recuperate
Recuperate_Text	A Player becomes Tired and gains $PowNum$ PowerIcon.
Security	Security
Security_Text	A Player switches Positions and gains $DefNum$ DefenseIcon.
Soft_Landing	Soft Landing
Soft_Landing_Text	An Elevated Player gains $MainNum$ HealthIcon and becomes Grounded.
Switch_Up	Switch Up
Switch_Up_Text	All Players gain $MainNum$ Health. Then everyone switches Positions.
Tailwinds	Tailwinds
Tailwinds_Text	Each Elevated Player gains $MainNum$ Health and $PowNum$ PowerIcon.
Team_Up	Team Up
Team_Up_Text	Each Grounded Player gains $MainNum$ HealthIcon and $DefNum$ DefenseIcon.
Wizard	Wizard
Wizard_Text	Deals small amounts of damage to multiple Enemies at once. Has control over Positions and PowerIcon.
Above_Danger	Above Danger
Above_Danger_Text	A Grounded Player becomes Elevated and Protected for $StatusNum$ Rounds.
Accelerate	Accelerate
Accelerate_Text	Another Player gains $PowNum$ PowerIcon. Decrease their active CooldownIcon by $MiscNum$.
Bad_Omens	Bad Omens
Bad_Omens_Text	Deal $MainNum$ damage to each Grounded Enemy. They each lose $PowNum$ PowerIcon.
Bounce	Bounce
Bounce_Text	Deal $MainNum$ damage to each Grounded Enemy. They each become Elevated.
Conformity	Conformity
Conformity_Text	Deal $MainNum$ damage to all Enemies with a different Position and Mood than this.
Divine_Wind	Divine Wind
Divine_Wind_Text	Each Elevated Player gains $PowNum$ PowerIcon. Then deal $MainNum$ damage to each Elevated Enemy.
Flood	Flood
Flood_Text	Each Grounded Player becomes Elevated. Deal $MainNum$ damage to each Grounded Enemy.
Headwinds	Headwinds
Headwinds_Text	Deal $MainNum$ damage to each Elevated Enemy. They each lose $PowNum$ PowerIcon.
Launch	Launch
Launch_Text	A Grounded Enemy becomes Elevated and loses $PowNum$ PowerIcon.
Manipulate_Time	Manipulate Time
Manipulate_Time_Text	Deal $MainNum$ damage to all Enemies. They each get $StatusNum$ Extra Ability.
Overgrowth	Overgrowth
Overgrowth_Text	Each Grounded Player gains $PowNum$ PowerIcon. Then deal $MainNum$ damage to each Grounded Enemy.
Punch_Up	Punch Up
Punch_Up_Text	Deal $MainNum$ damage to each Grounded Enemy with $MiscNum$ HealthIcon or more.
Readjust	Readjust
Readjust_Text	An Enemy switches Positions and becomes Stunned for $StatusNum$ turn.
Stalactites	Stalactites
Stalactites_Text	Deal $MainNum$ damage to each Elevated Enemy. They each become Grounded.
Stare_Down	Stare Down
Stare_Down_Text	Deal $MainNum$ damage to each Grounded Enemy with $MiscNum$ HealthIcon or less.
Strain	Strain
Strain_Text	Deal $MainNum$ damage to all Enemies. This takes $SecNum$ damage.
Team_Attack	Team Attack
Team_Attack_Text	If all 3 Players are Elevated, deal $MainNum$ damage to all Enemies.
Thunder	Thunder
Thunder_Text	An Elevated Enemy becomes Grounded and loses $PowNum$ PowerIcon.
Tornado	Tornado
Tornado_Text	Each Elevated Player becomes Grounded. Deal $MainNum$ damage to each Elevated Enemy.
Touchdown	Touchdown
Touchdown_Text	An Elevated Player becomes Grounded and gains $PowNum$ PowerIcon.
Warp	Warp
Warp_Text	A Player switches Positions and becomes Locked for $StatusNum$ Rounds.
Revive	Revive
Revive_Text	Bring back a dead Player with $MainNum$ HealthIcon and a random Mood.
Wait	Wait
Wait_Text	Do nothing.
Archer	Archer
Archer_Text	Makes itself Focused, then shoots down Tired and Elevated Players.
Distract	Distract
Distract_Text	An Elevated Player becomes Tired. Then deal $MainNum$ damage to them.
Bullseye	Bullseye
Bullseye_Text	This gains $PowNum$ PowerIcon. Then deal $MainNum$ damage to an Elevated Player.
Cover	Cover
Cover_Text	This becomes Focused and gains $DefNum$ DefenseIcon.
Aim_Up	Aim Up
Aim_Up_Text	This becomes Grounded, and a Grounded Player becomes Elevated.
Barbarian	Barbarian
Barbarian_Text	Makes itself Focused, attacks the Player with the most HealthIcon, and lowers their Max HealthIcon and PowerIcon.
Fury	Fury
Fury_Text	Deal $MainNum$ damage to the Player with the most HealthIcon.
Trample	Trample
Trample_Text	The Player with the most HealthIcon loses $DefNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.
Brawl	Brawl
Brawl_Text	The Player with the most HealthIcon. loses 2 Max HealthIcon.
Frenzy	Frenzy
Frenzy_Text	This becomes Focused and gains $PowNum$ PowerIcon.
Bat	Bat
Bat_Text	Makes itself Tired, then it attacks Lively players and heals at the same time.
Drain	Drain
Drain_Text	Deal $MainNum$ damage to a Player. This gains $MainNum$ HealthIcon.
Screech	Screech
Screech_Text	A Player becomes Lively and loses $DefNum$ DefenseIcon.
Echolocate	Echlocate
Echolocate_Text	This gains $PowNum$ PowerIcon.
Bloodthirst	Bloodthirst
Bloodthirst_Text	This becomes Tired and gets $StatusNum$ Extra Ability.
Bees	Bees
Bees_Text	Helps other Elevated Enemies stay alive with status effects.
Sting	Sting
Sting_Text	Deal $MainNum$ damage to all Players. This becomes Targeted for $StatusNum$ Rounds.
Honey	Honey
Honey_Text	Another Elevated Enemy gains $MainNum$ HealthIcon.
Swarm	Protect the Queen
Swarm_Text	Another Elevated Enemy becomes Protected for $StatusNum$ Rounds.
Support	Support
Support_Text	Another Elevated Enemy gets $StatusNum$ Extra Ability.
Cow	Cow
Cow_Text	Either attacks the Player who most recently damaged them, or does some healing.
Charge	Charge
Charge_Text	Deal $MainNum$ damage to the last Player who attacked this (if any).
Milk	Milk
Milk_Text	Another Enemy gains $MainNum$ HealthIcon and becomes Lively.
Graze	Graze
Graze_Text	This gains $MainNum$ Max HealthIcon and $MainNum$ HealthIcon.
Bellow	Bellow
Bellow_Text	This gains $DefNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.
Crow	Crow
Crow_Text	Basic Enemy who attacks Grounded and Elevated Players.
Peck	Peck
Peck_Text	Deal $MainNum$ damage to any Player.
Demon	Demon
Demon_Text	Weakens other Enemies to make itself stronger. Eventually it'll unleash a attack on all Players.
Dark_Energy	Dark Energy
Dark_Energy_Text	Deal $MainNum$ damage to all Players.
Betray	Betray
Betray_Text	Deal $MainNum$ damage to another Enemy. This gains $MiscNum$ Max HealthIcon, $SecNum$ HealthIcon, and $PowNum$ PowerIcon.
Ritual	Ritual
Ritual_Text	Another Enemy becomes Stunned for $StatusNum$ turn. This reduces their active Ability CooldownIcon by $MiscNum$.
Absorb	Demand Energy
Absorb_Text	All other Players and Enemies lose $PowNum$ PowerIcon.
Dragon	Dragon
Dragon_Text	Deals lots of damage to all Players when Elevated. Heals itself and becomes Grounded when damaged.
Firebreath	Firebreath
Firebreath_Text	If this is Elevated, deals $MainNum$ damage to all Players.
Roost	Roost
Roost_Text	If this is Elevated, it becomes Grounded and gains $MainNum$ HealthIcon.
Take_Flight	Take Flight
Take_Flight_Text	All Grounded Enemies becomes Elevated.
Roar	Roar
Roar_Text	This gains $DefNum$ DefenseIcon and switches Positions.
Drone	Drone
Drone_Text	Makes itself Elevated and raises its PowerIcon before attacking multiple Players at once.
Sound_Waves	Sound Waves
Sound_Waves_Text	Deal $MainNum$ damage to all Players.
Alarm	Alarm
Alarm_Text	This gains $PowNum$ PowerIcon and becomes Elevated and Locked for $StatusNum$ Rounds.
Ghost	Ghost
Ghost_Text	Makes Players change Positions, and then deals damage to all Players while Tired.
Jumpscare	Jumpscare
Jumpscare_Text	Deal $MainNum$ damage to all Players.
Lament	Lament
Lament_Text	This and another Enemy both become Tired.
Possession	Possession
Possession_Text	A Grounded Player becomes Elevated and loses $PowNum$ PowerIcon.
Release	Release
Release_Text	An Elevated Player becomes Grounded and Stunned for $StatusNum$ turn.
Herald	Herald
Herald_Text	If not killed fast enough, will start to summon 3 StarIcon Enemies.
Flag_Whack	Flag Whack
Flag_Whack_Text	Deal $MainNum$ damage to an Elevated Player.
Announce	Announce
Announce_Text	Summon a random $MiscNum$ StarIcon Enemy.
Kitty	KITTY!!!
Kitty_Text	Alternates between Grounded and Elevated, and attacks any Player at the same Position.
Scratch	Scratch
Scratch_Text	Deal $MainNum$ damage to a Player at the same Position.
Climb_Up	Climb Up
Climb_Up_Text	If this is Grounded, it becomes Elevated and gains $DefNum$ DefenseIcon.
Reflex	Reflex
Reflex_Text	If this is Elevated, it becomes Grounded and gains $MainNum$ HealthIcon.
Lure	Lure
Lure_Text	A Player switches Positions and loses $PowNum$ PowerIcon.
Leprechaun	Leprechaun
Leprechaun_Text	If this is at full HealthIcon, it increases Player Stats; otherwise it deals lots of damage.
Prank	Prank
Prank_Text	If this took damage, deal $MainNum$ damage to all Players.
Offer_Gold	Offer Gold
Offer_Gold_Text	If this is at full HealthIcon, all Players gain $PowNum$ PowerIcon and $DefNum$ DefenseIcon.
Ninja	Ninja
Ninja_Text	Finishes off the Player with the least HealthIcon, and alternates between Grounded and Elevated.
Sneak_Attack	Sneak Attack
Sneak_Attack_Text	Deal $MainNum$ damage to the Player with the least amount of HealthIcon.
Shurikens	Shurikens
Shurikens_Text	Deal $MainNum$ damage to all Players with $MiscNum$ HealthIcon or more.
Skulk	Skulk
Skulk_Text	If this is Elevated, it becomes Grounded and Protected for $StatusNum$ Rounds.
Wall_Climb	Wall Climb
Wall_Climb_Text	If this is Grounded, it becomes Elevated and gains $PowNum$ PowerIcon.
Page	Page
Page_Text	Basic Enemy who attacks Grounded Players.
Swing	Swing
Swing_Text	Deal $MainNum$ damage to a Grounded Player.
Partier	Partier
Partier_Text	Heals all Enemies, gives them random Moods, and increases their Max HealthIcon.
Fight	Fight
Fight_Text	Deal $MainNum$ damage to a Grounded Player.
Share_Drinks	Share Drinks
Share_Drinks_Text	All Enemies gain $MainNum$ HealthIcon.
Share_Snacks	Share Snacks
Share_Snacks_Text	All Enemies gain $MiscNum$ Max HealthIcon.
Drinking_Game	Drinking Game
Drinking_Game_Text	All Enemies get a random Mood.
Pixie	Pixie
Pixie_Text	Changes all Player Moods at the same time, and attacks Elevated Players.
Will_o_Wisp	Will-o'-Wisp
Will_o_Wisp_Text	Deal $MainNum$ damage to an Elevated Player.
Agitate	Agitate
Agitate_Text	All Player become Lively.
Drowsiness	Drowsiness
Drowsiness_Text	All Players become Tired.
Bother	Bother
Bother_Text	All Players become Focused.
Puppeteer	Puppeteer
Puppeteer_Text	Makes Players Elevated, then makes them Grounded again to deal damage. Can also give all other Elevated Enemies Extra Abilities.
Collision	Collision
Collision_Text	Deal $MainNum$ damage to all Elevated Players.
Drop	Drop
Drop_Text	Deal $MainNum$ damage to each Elevated Player. They each become Grounded.
Dangle	Dangle
Dangle_Text	All Grounded Players become Elevated and lose $PowNum$ PowerIcon.
Control	Control
Control_Text	Each other Elevated Enemy gets $StatusNum$ Extra Ability.
Puppy	PUPPY!!!
Puppy_Text	Attacks Players after they're Grounded and their DefenseIcon has been reduced.
Bite	Bite
Bite_Text	Deal $MainNum$ damage to a Grounded Player with -1 DefenseIcon or less.
Leap	Leap
Leap_Text	Deal $MainNum$ damage to an Elevated Player. They become Grounded.
Bark	Bark
Bark_Text	All Players lose $DefNum$ DefenseIcon.
Cuddle	Cuddle
Cuddle_Text	A Player with $MiscNum$ DefenseIcon or more loses $DefNum$ DefenseIcon.
Rats	Rats
Rats_Text	Defensive enemy that makes copies of itself.
Gnaw	Gnaw
Gnaw_Text	Deal $MainNum$ damage to a Grounded Player. This gains $DefNum$ DefenseIcon.
Breed	Breed
Breed_Text	Summon a Rats.
Royalty	Royalty
Royalty_Text	Summons more 1 StarIcon Enemies, and then gives them more PowerIcon and Max HealthIcon.
Order	Order
Order_Text	Deal $MainNum$ damage to a Player. They become Targeted for $StatusNum$ Rounds.
Promote	Promote
Promote_Text	Another Enemy gains $MiscNum$ Max Health and $MainNum$ Health.
Call	Call
Call_Text	Summon a random $MiscNum$ Star Enemy.
Procession	Procession
Procession_Text	All Enemies gain $PowNum$ PowerIcon.
Siren	Siren
Siren_Text	Makes a Player Focused and Stunned, and then deals damage to Stunned Players.
Drown	Drown
Drown_Text	Deal $MainNum$ damage to a Stunned Player.
Shipwreck	Shipwreck
Shipwreck_Text	A Focused Player loses $DefNum$ DefenseIcon and becomes Stunned for $StatusNum$ turns.
Manipulate	Manipulate
Manipulate_Text	A Player becomes Focused and Locked for $StatusNum$ Rounds.
Sing	Sing
Sing_Text	A $MiscNum$ StarIcon Enemy gains $DefenseNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.
Spider	Spider
Spider_Text	While this is Elevated, it'll make Players Elevated and Tired, and then lower their DefenseIcon.
Stab_Prey	Stab Prey
Stab_Prey_Text	If this is Elevated, deal $MainNum$ damage to an Elevated Player.
Trap	Trap
Trap_Text	If this is Elevated, a Grounded Player becomes Elevated and Locked for $StatusNum$ Rounds.
Silk_Wrap	Silk Wrap
Silk_Wrap_Text	An Elevated Player becomes Tired and loses $PowNum$ PowerIcon.
Spin_Web	Spin Web
Spin_Web_Text	A Grounded Enemy becomes Elevated and gains $DefNum$ Defense.
Taskmaster	Taskmaster
Taskmaster_Text	Keeps changing its own Mood, and deals heavy damage to any Player with a different Mood.
Punishment	Punishment
Punishment_Text	Does $MainNum$ damage to Player with a different Mood than this.
Demand_Lively	Demand Lively
Demand_Lively_Text	This becomes Lively.
Demand_Focused	Demand Focused
Demand_Focused_Text	This becomes Focused.
Demand_Tired	Demand Tired
Demand_Tired_Text	This becomes Tired.
Trickster	Trickster
Trickster_Text	Makes a Grounded Player Lively, and then makes their Ability CooldownIcon take longer.
Mischief	Mischief
Mischief_Text	Deal $MainNum$ damage to a Grounded Player.
Delude	Delude
Delude_Text	A Player becomes Lively, Grounded, and Locked for $StatusNum$ Round.
Delay	Delay
Delay_Text	A Grounded Player gets $MiscNum$ CooldownIcon added to one of their available Abilities.
Sidetrack	Sidetrack
Sidetrack_Text	A Grounded Player gets $MiscNum$ CooldownIcon added to all of their inactive Abilities.
Wall	Wall
Wall_Text	Makes itself Targeted and increases its DefenseIcon.
Toughen	Toughen
Toughen_Text	This gains $MainNum$ HealthIcon and gains $DefNum$ DefenseIcon.
Block	In the Way
Block_Text	This becomes Grounded and Targeted for $StatusNum$ Rounds.
Block_Log	$This$ is in the way.
Wolf	Wolf
Wolf_Text	Makes itself Lively and goes after Focused and Grounded Players. Also helps out any 1 StarIcon Enemies.
Pounce	Pounce
Pounce_Text	Deal $MainNum$ damage to a Grounded Player.
Hunt	Hunt
Hunt_Text	An Enemy becomes Lively, and a Player becomes Focused.
Nurture	Nurture
Nurture_Text	All $MiscNum$ StarIcon Enemies gain $PowNum$ PowerIcon and $DefNum$ DefenseIcon.
Guard	Guard
Guard_Text	A $MiscNum$ StarIcon Enemy becomes Protected for $StatusNum$ Rounds.
Passion	Passion
Passion_Text	When anyone becomes Focused, they gain 1 PowerIcon and 1 DefenseIcon.
Lucky	Lucky
Lucky_Text	When anyone becomes Lively, they get 1 Extra Ability.
Rest	Rest
Rest_Text	When anyone becomes Tired, they gain 2 HealthIcon.
Preparation	Preparation
Preparation_Text	After anyone uses an Attack or Healing Ability, they lose 1 PowerIcon; otherwise they gain 1 PowerIcon.
Inspiration	Inspiration
Inspiration_Text	Waves 2-5: Players get a new set of random Abilities.
Crowds	Crowds
Crowds_Text	Waves 1-4: Add another 1 StarIcon Enemy at random, and all Enemies lose 1 Max HealthIcon.
Charge_Up	Charge Up
Charge_Up_Text	Each Wave: A random Enemy gains 5 Max HealthIcon, 5 HealthIcon, 2 PowerIcon, 2 DefenseIcon, and becomes Stunned for 3 turns.
Topsy_Turvy	Topsy Turvy
Topsy_Turvy_Text	Each Round: all Players switch Positions.
Bloodied	Bloodied
Bloodied_Text	If someone is at 6 HealthIcon or more, their Abilities have 1 more CooldownIcon; otherwise 1 less CooldownIcon.
Comfort_Zone	Comfort Zone
Comfort_Zone_Text	Anyone who's at their starting Position has +1 DefenseIcon; otherwise -1 DefenseIcon.
Update_0	Dec 9, 2025
Update_0_Text	Dropped speed and luck, and changed abilities that used them\nTurn order is now players first (in order of Wizard, Knight, Angel), then enemies in order\nAngry's +2 PowerIcon is now +1 PowerIcon, +1 DefenseIcon
Update_1	Dec 12, 2025
Update_1_Text	Changed Royalty's Procession to affect PowerIcon\nFixed a tag for an ability
Update_2	Dec 18, 2025
Update_2_Text	Knight's Twirl and Wizard's Shockwave: has no CooldownIcon\nAngel's Team Up: 2 HealthIcon to 3 HealthIcon\nWizard's Lightning Storm and Flood: 3 damage to 4 damage, dropped “lightning”\nArcher's Volley: has 1 turn of CooldownIcon\nFixed some wrong UI displays
